https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZEC
1640995200000,2022-01-01 00:00:00,ZEC/USD,147.767036,151.742673,147.13702,151.337825,373947.7173537976,2470.9468195
1640908800000,2021-12-31 00:00:00,ZEC/USD,154.238406,157.951814,144.564733,147.701312,380824.7998586015,2578.344056
1640822400000,2021-12-30 00:00:00,ZEC/USD,147.605459,154.745,144.915931,154.468407,413737.47858303395,2678.46018884
1640736000000,2021-12-29 00:00:00,ZEC/USD,152.567546,154.319245,142.464686,147.405905,401339.79482600675,2722.68464975
1640649600000,2021-12-28 00:00:00,ZEC/USD,171.341466,172.122225,151.524001,152.182967,433142.4322272792,2846.19521334
1640563200000,2021-12-27 00:00:00,ZEC/USD,169.13273,174.993801,167.69476,171.461174,429491.8775188627,2504.89290082
1640476800000,2021-12-26 00:00:00,ZEC/USD,170.406386,172.762936,164.269056,168.931374,439522.55879064265,2601.78170806
1640390400000,2021-12-25 00:00:00,ZEC/USD,165.538732,172.686166,165.004337,170.605931,431066.0376063964,2526.67674025
1640304000000,2021-12-24 00:00:00,ZEC/USD,167.678,171.067699,163.628567,165.514557,405855.0760082029,2452.08085237
1640217600000,2021-12-23 00:00:00,ZEC/USD,166.219784,169.841038,158.0,166.9,443857.923574384,2659.42434736
1640131200000,2021-12-22 00:00:00,ZEC/USD,162.898994,169.0,160.887781,165.514806,424878.86994599033,2567.01427633
1640044800000,2021-12-21 00:00:00,ZEC/USD,157.76097,163,156.310639,162.896535,410399.8293198974,2519.38955804
1639958400000,2021-12-20 00:00:00,ZEC/USD,158.43971,163.906736,150.773214,156.93546,443462.54119857715,2825.76379614
1639872000000,2021-12-19 00:00:00,ZEC/USD,157.704731,166.781399,156.249744,158.132505,432474.4071159609,2734.88620898
1639785600000,2021-12-18 00:00:00,ZEC/USD,150.641116,165.0,149.622291,157.811953,454850.5479604562,2882.23128422
1639699200000,2021-12-17 00:00:00,ZEC/USD,154.503933,156.126697,146.652316,150.802924,478031.1315094589,3169.90625135
1639612800000,2021-12-16 00:00:00,ZEC/USD,161.488989,168.002355,154.0,154.505403,515779.4279431346,3338.26143247
1639526400000,2021-12-15 00:00:00,ZEC/USD,160.807553,168.393,154.714,160.599705,478817.2628693442,2981.43301614
1639440000000,2021-12-14 00:00:00,ZEC/USD,158.200877,164.949777,153.0,160.884794,443350.0668982705,2755.69900595
1639353600000,2021-12-13 00:00:00,ZEC/USD,179.415867,181.389376,157.0,157.85867,461435.17439533694,2923.09047324
1639267200000,2021-12-12 00:00:00,ZEC/USD,178.983634,182.567328,172.2,179.842919,483079.7524786897,2686.12050541
