https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WAVES
1652400000000,2022-05-13 00:00:00,WAVES/USD,7.405305,9.17908,7.219691,7.759042,766829.7946071714,98830.47347948
1652313600000,2022-05-12 00:00:00,WAVES/USD,9.023957,9.728805,6.923717,7.437632,822796.6884921005,110626.16280183
1652227200000,2022-05-11 00:00:00,WAVES/USD,13.18449,13.544757,8.11704,9.021196,1255126.5080538169,139130.83232576
1652140800000,2022-05-10 00:00:00,WAVES/USD,13.541843,15.078742,12.363,13.16623,1192901.7117218934,90603.13481702
1652054400000,2022-05-09 00:00:00,WAVES/USD,14.293106,16.287718,13.482576,13.520199,1314784.6052176896,97245.95068591
1651968000000,2022-05-08 00:00:00,WAVES/USD,14.452966,14.705552,13.816573,14.319391,1016921.3350452827,71017.07991948
1651881600000,2022-05-07 00:00:00,WAVES/USD,15.347666,15.5,14.162015,14.468434,1069224.1225581083,73900.47344157
1651795200000,2022-05-06 00:00:00,WAVES/USD,14.893361,15.847456,13.908235,15.320488,1143708.0691261357,74652.19574769
1651708800000,2022-05-05 00:00:00,WAVES/USD,16.429782,18.0,14.350001,14.899896,1429630.9523015956,95949.05577204
1651622400000,2022-05-04 00:00:00,WAVES/USD,12.816743,16.852399,12.771401,16.446171,1342657.217494834,81639.50244071
1651536000000,2022-05-03 00:00:00,WAVES/USD,13.318817,14.004933,12.692528,12.810887,832091.1385860621,64951.87558723
1651449600000,2022-05-02 00:00:00,WAVES/USD,14.007147,14.225326,12.840128,13.311503,906951.4427586892,68132.91051797
1651363200000,2022-05-01 00:00:00,WAVES/USD,13.438187,14.635219,13.130154,14.031351,928789.5844097612,66193.88143093
1651276800000,2022-04-30 00:00:00,WAVES/USD,15.118585,15.621932,12.810001,13.480624,925834.044812727,68678.87160214
1651190400000,2022-04-29 00:00:00,WAVES/USD,16.350686,16.460974,14.9,15.103408,970359.992698976,64247.75075261
