https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XEM
1645660800000,2022-02-24 00:00:00,XEM/USD,0.0974108,0.09758684,0.08757396,0.09544496,38727.156423857996,405753.812709
1645574400000,2022-02-23 00:00:00,XEM/USD,0.10155874,0.10499423,0.097134,0.09717604,37579.11051440374,386711.68854384
1645488000000,2022-02-22 00:00:00,XEM/USD,0.09532393,0.10170363,0.09348687,0.10136049,36500.51791773966,360105.97341962
1645401600000,2022-02-21 00:00:00,XEM/USD,0.10187791,0.10493712,0.09498759,0.09519112,42570.280212338774,447208.52336162
1645315200000,2022-02-20 00:00:00,XEM/USD,0.10491843,0.10498284,0.1003,0.10182293,37574.192925163705,369015.0433224
1645228800000,2022-02-19 00:00:00,XEM/USD,0.10444018,0.10747615,0.103,0.10486623,38638.30301344756,368453.24766083
1645142400000,2022-02-18 00:00:00,XEM/USD,0.10689027,0.10916527,0.1033,0.10452319,39164.77574056752,374699.39197768
1645056000000,2022-02-17 00:00:00,XEM/USD,0.11638182,0.1183334,0.1055273,0.1069515,40381.057189652005,377564.19675883
1644969600000,2022-02-16 00:00:00,XEM/USD,0.11571708,0.118961,0.11366512,0.11625829,43426.67981921899,373536.19960537
1644883200000,2022-02-15 00:00:00,XEM/USD,0.11093415,0.1163,0.11079061,0.11585894,40148.43411687974,346528.58136696
1644796800000,2022-02-14 00:00:00,XEM/USD,0.11214213,0.11460692,0.10876048,0.11092229,39888.90628045067,359611.27633094
1644710400000,2022-02-13 00:00:00,XEM/USD,0.11051545,0.11450454,0.1075063,0.11211331,40571.06041628249,361875.50270599
1644624000000,2022-02-12 00:00:00,XEM/USD,0.10943137,0.11276039,0.10667127,0.11049556,42745.25052582239,386850.39042132
1644537600000,2022-02-11 00:00:00,XEM/USD,0.11509333,0.11864602,0.10862,0.10992946,42224.936325728384,384109.37637398
1644451200000,2022-02-10 00:00:00,XEM/USD,0.12172664,0.12193829,0.11421579,0.11513201,45868.25303039409,398397.0490083
1644364800000,2022-02-09 00:00:00,XEM/USD,0.11771195,0.12334998,0.11596783,0.12186118,44983.761065792256,369139.38520694
1644278400000,2022-02-08 00:00:00,XEM/USD,0.1186124,0.12507353,0.11229765,0.11737491,46064.51093583828,392456.19814182
1644192000000,2022-02-07 00:00:00,XEM/USD,0.11362405,0.1199601,0.11139037,0.118546,45921.11140960528,387369.5562027
1644105600000,2022-02-06 00:00:00,XEM/USD,0.11484313,0.11741077,0.1109,0.11363966,40894.46879754179,359860.88657377
1644019200000,2022-02-05 00:00:00,XEM/USD,0.11175498,0.11528872,0.11103325,0.11428976,41766.37846013024,365442.87484837
1643932800000,2022-02-04 00:00:00,XEM/USD,0.10489088,0.11198293,0.1041374,0.1117382,40133.060277157245,359170.4562733
1643846400000,2022-02-03 00:00:00,XEM/USD,0.10397524,0.1047907,0.10131781,0.1046647,37828.82441519989,361428.68049304
1643760000000,2022-02-02 00:00:00,XEM/USD,0.10623063,0.10813034,0.10371558,0.1043163,37970.25301924533,363991.56238522
1643673600000,2022-02-01 00:00:00,XEM/USD,0.10430388,0.11033125,0.10370434,0.10618056,39656.129478864765,373478.24760827
1643587200000,2022-01-31 00:00:00,XEM/USD,0.10490387,0.10543364,0.0982353,0.10440962,38588.1962675583,369584.68259494
1643500800000,2022-01-30 00:00:00,XEM/USD,0.10705288,0.10790378,0.10253763,0.10478852,37446.5828072914,357353.86669543
1643414400000,2022-01-29 00:00:00,XEM/USD,0.1025914,0.108402,0.10243035,0.10680419,41593.255150477526,389434.67620959
1643328000000,2022-01-28 00:00:00,XEM/USD,0.09995698,0.10283411,0.09699941,0.10281421,39835.53148486179,387451.6128156
1643241600000,2022-01-27 00:00:00,XEM/USD,0.0993214,0.102,0.09477144,0.09983541,39857.365586401815,399230.74975504
1643155200000,2022-01-26 00:00:00,XEM/USD,0.09797003,0.104695,0.09720278,0.09935852,37319.09910475836,375600.39244504
1643068800000,2022-01-25 00:00:00,XEM/USD,0.10008317,0.10008317,0.0957839,0.09775835,34710.264714002784,355061.89204301
1642982400000,2022-01-24 00:00:00,XEM/USD,0.09971232,0.10072,0.08894,0.10021396,43407.58034760557,433149.03779479
1642896000000,2022-01-23 00:00:00,XEM/USD,0.09611039,0.101838,0.09502394,0.09987772,37053.49995872433,370988.64450174
1642809600000,2022-01-22 00:00:00,XEM/USD,0.0991975,0.1014,0.09,0.09639249,54336.48990966485,563700.44917052
1642723200000,2022-01-21 00:00:00,XEM/USD,0.11188418,0.113069,0.09664876,0.09934232,43925.1501259981,442159.49583217
1642636800000,2022-01-20 00:00:00,XEM/USD,0.11438341,0.119458,0.11151838,0.11196643,40389.29346783903,360726.81309781
1642550400000,2022-01-19 00:00:00,XEM/USD,0.1155627,0.1162151,0.11067596,0.11433726,41571.610263855124,363587.60271022
1642464000000,2022-01-18 00:00:00,XEM/USD,0.11638426,0.11740945,0.11250461,0.11568033,43383.184545253964,375026.45908128
