https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALGO,Volume USDT
1644969600,2022-02-16 00:00:00,ALGO/USDT,0.9699,1.0073,0.9532,0.9783,7788564.90046717,7629616.482944720074
1644883200,2022-02-15 00:00:00,ALGO/USDT,0.8996,0.9749,0.8986,0.9699,6074478.60161849,5708733.952445279359
1644796800,2022-02-14 00:00:00,ALGO/USDT,0.8968,0.9097,0.8714,0.8993,4667941.72431551,4157380.650134676073
1644710400,2022-02-13 00:00:00,ALGO/USDT,0.9183,0.9348,0.8825,0.896,4678105.73117105,4281330.009604049059
1644624000,2022-02-12 00:00:00,ALGO/USDT,0.9156,0.9408,0.8891,0.9184,4851504.83867734,4468350.145976336383
1644537600,2022-02-11 00:00:00,ALGO/USDT,0.9813,0.9956,0.8963,0.9163,7539950.55035919,7235314.544626243081
1644451200,2022-02-10 00:00:00,ALGO/USDT,1.0366,1.049,0.9732,0.9815,8224027.8256162,8313740.832303289098
1644364800,2022-02-09 00:00:00,ALGO/USDT,1.0236,1.0461,0.9959,1.037,10336430.02531906,10635830.799257097355
1644278400,2022-02-08 00:00:00,ALGO/USDT,1.0707,1.1027,0.9871,1.0235,11742312.90502806,12263972.750846130553
1644192000,2022-02-07 00:00:00,ALGO/USDT,1.0246,1.0982,0.9993,1.0704,10443087.34575738,11062313.991619855363
1644105600,2022-02-06 00:00:00,ALGO/USDT,1.0021,1.03,0.9705,1.0247,5373195.75098093,5398646.866709357552
1644019200,2022-02-05 00:00:00,ALGO/USDT,0.9977,1.0447,0.9814,1.002,5550511.49075196,5619312.501110769459
1643932800,2022-02-04 00:00:00,ALGO/USDT,0.936,0.9992,0.9264,0.9973,5353558.55460119,5133099.580419468478
1643846400,2022-02-03 00:00:00,ALGO/USDT,0.9235,0.9404,0.9006,0.9361,4422877.53796582,4075448.025191896864
1643760000,2022-02-02 00:00:00,ALGO/USDT,0.9669,1.0299,0.9213,0.9242,9482943.50313093,9306793.815014277067
