https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EGLD,Volume USDT
1649116800,2022-04-05 00:00:00,EGLD/USDT,191.3,193.11,184.08,184.52,13523.14249366,2549866.8170061321
1649030400,2022-04-04 00:00:00,EGLD/USDT,195.42,197.87,183.67,191.42,14855.24892626,2834019.9353034973
1648944000,2022-04-03 00:00:00,EGLD/USDT,191.77,198.59,188.56,195.39,7537.46994027,1465698.6092140493
1648857600,2022-04-02 00:00:00,EGLD/USDT,197.73,202.19,190.94,191.79,14468.44754371,2864330.3466687474
1648771200,2022-04-01 00:00:00,EGLD/USDT,186.84,198.34,178.74,197.76,25354.86224126,4820965.0798626627
1648684800,2022-03-31 00:00:00,EGLD/USDT,198.11,204.93,184.47,187.06,25383.7988442,4924140.7006505863
1648598400,2022-03-30 00:00:00,EGLD/USDT,196.96,202.74,190.95,198.08,17257.36546545,3406944.5628334253
1648512000,2022-03-29 00:00:00,EGLD/USDT,192.78,204.83,192.73,196.96,22877.47512905,4546572.8357190661
1648425600,2022-03-28 00:00:00,EGLD/USDT,198.8,214.66,190.21,192.86,43599.64290578,8839042.7652919063
1648339200,2022-03-27 00:00:00,EGLD/USDT,189.06,199.46,185.43,198.85,13305.04483193,2538499.6897356846
1648252800,2022-03-26 00:00:00,EGLD/USDT,181.58,190.69,177.38,189.19,14118.39359853,2642412.105907839
1648166400,2022-03-25 00:00:00,EGLD/USDT,191.92,195,178.01,181.43,17912.94340994,3347896.7466165506
1648080000,2022-03-24 00:00:00,EGLD/USDT,185.64,193.5,182.96,192.17,17955.56159305,3388323.5455331844
1647993600,2022-03-23 00:00:00,EGLD/USDT,185.63,193.35,180.88,185.57,23249.57384323,4325780.876550697
1647907200,2022-03-22 00:00:00,EGLD/USDT,173.12,187.43,172.14,185.38,22195.24465742,4029540.3643521413
1647820800,2022-03-21 00:00:00,EGLD/USDT,160.73,176.2,159.84,173.12,24606.99236556,4190587.3643924851
1647734400,2022-03-20 00:00:00,EGLD/USDT,160.09,169.75,157.84,160.73,21090.66987334,3447287.3287440192
1647648000,2022-03-19 00:00:00,EGLD/USDT,158.77,164.88,157.67,160.15,13611.67468016,2190306.0044655201
1647561600,2022-03-18 00:00:00,EGLD/USDT,157.17,164.9,152.43,158.56,19619.83093693,3115071.0486174774
1647475200,2022-03-17 00:00:00,EGLD/USDT,164,165.63,156.18,157.04,17427.85619174,2790149.7378404338
1647388800,2022-03-16 00:00:00,EGLD/USDT,156.69,168.42,153.93,163.58,37707.99031354,6103846.4633616329
1647302400,2022-03-15 00:00:00,EGLD/USDT,143.28,159.38,141.66,156.58,41188.17550132,6279845.7728382872
1647216000,2022-03-14 00:00:00,EGLD/USDT,134.7,144.67,132.76,143.19,14590.61539039,2056159.9844638501
1647129600,2022-03-13 00:00:00,EGLD/USDT,139.42,142.65,134.19,134.74,10540.75688144,1465664.7650993595
1647043200,2022-03-12 00:00:00,EGLD/USDT,138.7,143.98,138.43,139.4,9042.26436852,1282549.7219627907
1646956800,2022-03-11 00:00:00,EGLD/USDT,144.38,153.05,138.53,138.91,29733.88066162,4364795.1044660219
1646870400,2022-03-10 00:00:00,EGLD/USDT,141.7,146.45,131.88,144.37,27291.70220829,3848628.5225011935
1646784000,2022-03-09 00:00:00,EGLD/USDT,132.2,146.47,132.19,141.66,19560.68060233,2771476.4451691157
1646697600,2022-03-08 00:00:00,EGLD/USDT,130.8,135.68,129.06,132.22,11850.96755446,1567570.716370303
1646611200,2022-03-07 00:00:00,EGLD/USDT,132.62,138.02,126.02,130.87,19571.1145835,2591066.4677785064
1646524800,2022-03-06 00:00:00,EGLD/USDT,137.77,138.98,132.16,132.53,11053.32805565,1494544.0083343409
1646438400,2022-03-05 00:00:00,EGLD/USDT,132.98,144,128.81,137.82,26569.22524964,3584392.937211308
1646352000,2022-03-04 00:00:00,EGLD/USDT,146.45,147.03,130.43,132.97,26558.68466027,3682727.975864247
1646265600,2022-03-03 00:00:00,EGLD/USDT,152.64,154.51,143.89,146.58,15283.53329684,2284305.4335384969
1646179200,2022-03-02 00:00:00,EGLD/USDT,152.44,159.09,148.56,152.6,20023.49717082,3088251.8537752694
1646092800,2022-03-01 00:00:00,EGLD/USDT,150.41,159.48,148.37,152.13,26157.68948503,4012520.3593488791
1646006400,2022-02-28 00:00:00,EGLD/USDT,136.19,152.56,133.06,150.36,25536.70937197,3626748.9182588467
1645920000,2022-02-27 00:00:00,EGLD/USDT,142.6,144.78,134.82,136.09,17950.67896426,2498994.6256880958
1645833600,2022-02-26 00:00:00,EGLD/USDT,148.73,152.36,140.49,142.66,19572.22690569,2851709.9242161124
1645747200,2022-02-25 00:00:00,EGLD/USDT,134.45,150.07,132.69,148.6,20534.92321218,2900873.571642278
1645660800,2022-02-24 00:00:00,EGLD/USDT,146.57,148.1,121.01,134.76,42756.5361135,5624329.2948169322
1645574400,2022-02-23 00:00:00,EGLD/USDT,151.87,160.77,146.2,146.39,14731.87669363,2268354.0939736959
1645488000,2022-02-22 00:00:00,EGLD/USDT,146.14,154.06,145.47,151.67,15903.33197103,2377872.0616486622
1645401600,2022-02-21 00:00:00,EGLD/USDT,155.64,169.4,145.16,146.01,34156.66338984,5373961.2445125312
1645315200,2022-02-20 00:00:00,EGLD/USDT,162.29,162.36,152.53,155.45,25548.16434496,3988641.4265580496
1645228800,2022-02-19 00:00:00,EGLD/USDT,164,167.77,157.85,162.35,19346.83205712,3150815.3361537734
1645142400,2022-02-18 00:00:00,EGLD/USDT,170,181.29,163.25,163.86,30889.21409433,5273112.5698999821
1645056000,2022-02-17 00:00:00,EGLD/USDT,190.65,194.96,169.37,170.38,32632.23268792,5926594.3437426596
1644969600,2022-02-16 00:00:00,EGLD/USDT,195,196.55,183.71,190.75,19691.6869413,3753460.8082711408
1644883200,2022-02-15 00:00:00,EGLD/USDT,187.44,200,186.49,194.99,30748.03703791,5985717.5297873064
1644796800,2022-02-14 00:00:00,EGLD/USDT,189.62,195.36,180.4,187.15,34372.56317196,6467941.186859615
1644710400,2022-02-13 00:00:00,EGLD/USDT,200.4,206.39,189.37,189.74,34466.29847647,6902122.749014592
1644624000,2022-02-12 00:00:00,EGLD/USDT,194.69,204.88,182.7,200.25,49976.21406996,9716409.5400088232
1644537600,2022-02-11 00:00:00,EGLD/USDT,176.34,235.74,173.22,194.79,65980.34044333,13069309.7442070867
1644451200,2022-02-10 00:00:00,EGLD/USDT,178.18,195.8,173.4,176.42,34360.41840973,6318345.6112258505
1644364800,2022-02-09 00:00:00,EGLD/USDT,172.77,181.17,169.99,177.86,12564.5080665,2227792.1550514021
1644278400,2022-02-08 00:00:00,EGLD/USDT,176.37,183.27,166.19,172.59,22713.43166078,3955388.1730381885
1644192000,2022-02-07 00:00:00,EGLD/USDT,166.16,183.82,160.64,176.28,34552.10126119,6046794.931096472
1644105600,2022-02-06 00:00:00,EGLD/USDT,160.48,166.66,157.13,166.12,17382.49811316,2801324.7062889957
1644019200,2022-02-05 00:00:00,EGLD/USDT,153.86,165.87,152.16,160.39,28564.86941331,4549362.7342630663
1643932800,2022-02-04 00:00:00,EGLD/USDT,140.2,153.93,138.57,153.83,24151.81384461,3548433.0837567524
1643846400,2022-02-03 00:00:00,EGLD/USDT,141.75,143.1,135.08,139.91,20083.97684378,2803519.444597852
1643760000,2022-02-02 00:00:00,EGLD/USDT,151.12,155.88,140.24,141.73,31620.35752318,4739847.0517051277
1643673600,2022-02-01 00:00:00,EGLD/USDT,145.68,156.34,144.96,151.26,22257.94252762,3349708.3024487577
1643587200,2022-01-31 00:00:00,EGLD/USDT,141.47,146.49,134.13,145.69,17493.15554946,2441909.1189132811
1643500800,2022-01-30 00:00:00,EGLD/USDT,149.34,154.08,139.75,141.46,17258.72194688,2514099.0988832938
1643414400,2022-01-29 00:00:00,EGLD/USDT,143.68,150.73,142.88,149.36,15176.52945914,2219830.3171734561
1643328000,2022-01-28 00:00:00,EGLD/USDT,142.08,146.76,136.03,143.83,23272.2917958,3303249.7410869206
1643241600,2022-01-27 00:00:00,EGLD/USDT,140.05,147,133,142.08,24348.46948872,3391199.8344947584
1643155200,2022-01-26 00:00:00,EGLD/USDT,140.73,159.61,136.58,140.28,45411.87106935,6583408.6523954253
1643068800,2022-01-25 00:00:00,EGLD/USDT,131.27,143.4,128.23,140.6,33889.16721111,4581982.0283740115
1642982400,2022-01-24 00:00:00,EGLD/USDT,134.14,134.14,115.57,131.21,36434.94849677,4515114.5031669454
1642896000,2022-01-23 00:00:00,EGLD/USDT,125,142.57,124.36,134.2,28866.14581015,3824509.4065556031
1642809600,2022-01-22 00:00:00,EGLD/USDT,138.15,142.5,111.88,125.5,52400.31674385,6612614.9675900334
1642723200,2022-01-21 00:00:00,EGLD/USDT,166.52,169.04,135.2,138.27,46719.39695725,7207632.5862399058
1642636800,2022-01-20 00:00:00,EGLD/USDT,173.25,190,165.44,166.74,22132.4490259,3892384.7847706874
1642550400,2022-01-19 00:00:00,EGLD/USDT,178.91,181.81,168.72,173.27,15662.83245383,2719292.5302622153
1642464000,2022-01-18 00:00:00,EGLD/USDT,187.03,192.59,171.37,179.02,24594.42878458,4405498.082948958
1642377600,2022-01-17 00:00:00,EGLD/USDT,195.4,196.03,182.69,187,14691.9745283,2771416.7261096859
1642291200,2022-01-16 00:00:00,EGLD/USDT,200.38,201.04,193.05,195.29,11545.78803685,2270652.909614949
1642204800,2022-01-15 00:00:00,EGLD/USDT,199.34,207,197.28,200.38,8518.50093775,1722228.8783338917
1642118400,2022-01-14 00:00:00,EGLD/USDT,195.25,202.5,190.64,199.61,14822.9727787,2920007.332402651
1642032000,2022-01-13 00:00:00,EGLD/USDT,213.82,215.22,194.31,195.29,20090.83578126,4129451.1042517418
1641945600,2022-01-12 00:00:00,EGLD/USDT,205.29,220,204.26,214.14,24905.98581362,5272154.5121330199
1641859200,2022-01-11 00:00:00,EGLD/USDT,191.25,208.42,188.73,205.31,27617.51125269,5577182.8031807784
1641772800,2022-01-10 00:00:00,EGLD/USDT,197.81,200.18,180,191.48,18041.46833032,3439495.5589455113
1641686400,2022-01-09 00:00:00,EGLD/USDT,190.22,202.97,188.31,198.15,13420.68742839,2633146.6079654928
1641600000,2022-01-08 00:00:00,EGLD/USDT,195.47,201.11,181.11,190.27,16743.16056062,3205512.4531874757
1641513600,2022-01-07 00:00:00,EGLD/USDT,212.82,213.27,192,195.12,29915.67897771,5991000.3531927116
1641427200,2022-01-06 00:00:00,EGLD/USDT,213.29,215.55,200.71,212.47,27253.16238712,5696593.3587942689
1641340800,2022-01-05 00:00:00,EGLD/USDT,235.83,255,180.28,213.2,54160.53943193,12700279.4177856426
1641254400,2022-01-04 00:00:00,EGLD/USDT,236.79,243.02,230.24,235.99,15957.8786223,3784515.3099002627
1641168000,2022-01-03 00:00:00,EGLD/USDT,239.4,244.74,233.69,236.97,14483.7414592,3461164.3547543961
1641081600,2022-01-02 00:00:00,EGLD/USDT,244.89,245.05,236.79,239.61,13670.52257267,3299412.4091057491
1640995200,2022-01-01 00:00:00,EGLD/USDT,238.94,245.24,235.96,245.24,10680.12442386,2575184.3941073224
1640908800,2021-12-31 00:00:00,EGLD/USDT,239.24,248.62,232.76,238.59,15536.81651906,3747048.6381922738
1640822400,2021-12-30 00:00:00,EGLD/USDT,238.39,251.32,232.81,239.12,22959.26583594,5555092.8585027851
1640736000,2021-12-29 00:00:00,EGLD/USDT,240.24,246,231.7,238.07,21420.85089469,5141257.0599437475
1640649600,2021-12-28 00:00:00,EGLD/USDT,266.21,269.75,236.52,240.25,35688.01882345,9037052.065601965
