https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KAVA,Volume USDT
1646784000,2022-03-09 00:00:00,KAVA/USDT,3.0417,3.332,3.0417,3.2288,52265.72451076,168930.044041107435
1646697600,2022-03-08 00:00:00,KAVA/USDT,3.0133,3.3208,2.9906,3.0442,74527.67664391,235196.832325157409
1646611200,2022-03-07 00:00:00,KAVA/USDT,3.126,3.224,2.9517,3.0122,74410.78810559,232227.055849479533
1646524800,2022-03-06 00:00:00,KAVA/USDT,3.2283,3.2689,3.0595,3.1273,39090.00244053,123450.049866016414
1646438400,2022-03-05 00:00:00,KAVA/USDT,3.1452,3.2352,3.0455,3.2308,19598.38370584,61714.889455619329
1646352000,2022-03-04 00:00:00,KAVA/USDT,3.378,3.4389,3.1221,3.1452,49314.22498408,163627.337541540336
1646265600,2022-03-03 00:00:00,KAVA/USDT,3.5071,3.6155,3.3297,3.3781,45394.01156515,157177.467935670433
1646179200,2022-03-02 00:00:00,KAVA/USDT,3.5331,3.6427,3.4375,3.517,39426.98826107,139722.654584659646
1646092800,2022-03-01 00:00:00,KAVA/USDT,3.4059,3.6344,3.405,3.5335,66511.48047048,234598.989019920821
1646006400,2022-02-28 00:00:00,KAVA/USDT,3.0076,3.4059,2.9589,3.4059,54651.383865,175729.185341758839
1645920000,2022-02-27 00:00:00,KAVA/USDT,3.1673,3.2912,2.9735,3.0137,37930.80834823,119116.786691440284
1645833600,2022-02-26 00:00:00,KAVA/USDT,3.1428,3.2444,3.0961,3.1664,21425.91047603,68076.299177365647
1645747200,2022-02-25 00:00:00,KAVA/USDT,3.0151,3.1783,2.9161,3.1428,29219.79071353,89011.189097117342
1645660800,2022-02-24 00:00:00,KAVA/USDT,2.9534,3.06,2.563,3.0114,93439.90150634,258404.906317280418
1645574400,2022-02-23 00:00:00,KAVA/USDT,3.0925,3.1779,2.9378,2.9441,51987.0269004,159445.525268014244
1645488000,2022-02-22 00:00:00,KAVA/USDT,2.9229,3.0951,2.871,3.0854,50920.3983546,151846.008251523731
1645401600,2022-02-21 00:00:00,KAVA/USDT,3.2051,3.3065,2.9008,2.9008,61442.06587802,191229.217836419168
1645315200,2022-02-20 00:00:00,KAVA/USDT,3.455,3.4672,3.15,3.1912,28985.2976933,95124.77147089388
1645228800,2022-02-19 00:00:00,KAVA/USDT,3.2542,3.4669,3.2331,3.455,68190.01108742,229784.941530422645
1645142400,2022-02-18 00:00:00,KAVA/USDT,3.354,3.6377,3.2257,3.266,59585.16657101,200588.562311878255
1645056000,2022-02-17 00:00:00,KAVA/USDT,3.6265,3.7652,3.3342,3.3577,85977.89083684,312011.926159583205
1644969600,2022-02-16 00:00:00,KAVA/USDT,3.4889,3.7429,3.4615,3.6228,156935.95241299,566691.586765293958
1644883200,2022-02-15 00:00:00,KAVA/USDT,3.3004,3.5,3.2843,3.4888,52466.1469035,179483.375493090678
1644796800,2022-02-14 00:00:00,KAVA/USDT,3.2533,3.3676,3.1607,3.3,30003.46262818,98019.894502379782
1644710400,2022-02-13 00:00:00,KAVA/USDT,3.3082,3.4073,3.1608,3.2436,55823.01772068,183335.021217595687
1644624000,2022-02-12 00:00:00,KAVA/USDT,3.3847,3.4585,3.2662,3.3194,43585.61933997,146108.061890186816
1644537600,2022-02-11 00:00:00,KAVA/USDT,3.6564,3.7447,3.2941,3.3848,35499.39043239,127136.656439574432
1644451200,2022-02-10 00:00:00,KAVA/USDT,3.8164,3.9197,3.5467,3.6673,59836.69100992,224650.208463704171
1644364800,2022-02-09 00:00:00,KAVA/USDT,3.7896,3.9034,3.6902,3.8021,55972.30653985,211662.322240964094
1644278400,2022-02-08 00:00:00,KAVA/USDT,3.8996,3.9695,3.6059,3.7876,41109.76244182,155127.724782525066
1644192000,2022-02-07 00:00:00,KAVA/USDT,3.7658,4.0547,3.6808,3.9034,71898.65922029,278416.244768917814
1644105600,2022-02-06 00:00:00,KAVA/USDT,3.775,3.8442,3.6274,3.7737,39754.29029836,148611.855163388972
1644019200,2022-02-05 00:00:00,KAVA/USDT,3.6187,3.8204,3.556,3.7764,67216.06291769,247511.211032834644
1643932800,2022-02-04 00:00:00,KAVA/USDT,3.3333,3.6527,3.2843,3.6172,66734.41175584,235565.459100395294
1643846400,2022-02-03 00:00:00,KAVA/USDT,3.1665,3.3326,3.1095,3.3204,25149.95674456,81158.056444445655
1643760000,2022-02-02 00:00:00,KAVA/USDT,3.297,3.406,3.1303,3.1641,34509.85233506,112220.269653739472
1643673600,2022-02-01 00:00:00,KAVA/USDT,3.2656,3.3884,3.232,3.3009,54467.42943926,179852.514676713663
1643587200,2022-01-31 00:00:00,KAVA/USDT,3.2278,3.2908,3.0399,3.2676,53603.78217419,169289.641004066612
1643500800,2022-01-30 00:00:00,KAVA/USDT,3.2503,3.363,3.1502,3.2468,52292.23926261,170005.66875545956
1643414400,2022-01-29 00:00:00,KAVA/USDT,3.2101,3.3853,3.1773,3.2505,64144.65872847,208780.295792656458
1643328000,2022-01-28 00:00:00,KAVA/USDT,3.1693,3.2915,3.0699,3.2101,50260.05061036,159076.383714309149
1643241600,2022-01-27 00:00:00,KAVA/USDT,3.3515,3.39,3.0222,3.1651,156456.11134667,508811.810912404674
1643155200,2022-01-26 00:00:00,KAVA/USDT,3.1834,3.475,3.1361,3.3565,123628.80960749,412753.329008917021
1643068800,2022-01-25 00:00:00,KAVA/USDT,3.2136,3.34,3.1205,3.1967,56600.6062506,183919.059449638674
1642982400,2022-01-24 00:00:00,KAVA/USDT,3.3703,3.3703,2.8058,3.2303,150662.32781053,458609.17515922112
1642896000,2022-01-23 00:00:00,KAVA/USDT,3.2804,3.4671,3.1634,3.3884,65074.04389421,215717.43955252641
1642809600,2022-01-22 00:00:00,KAVA/USDT,3.7702,4.0847,3.0102,3.2804,171775.08707487,596369.504473154718
1642723200,2022-01-21 00:00:00,KAVA/USDT,4.078,4.1973,3.6691,3.7792,176206.48368363,706673.66709798828
1642636800,2022-01-20 00:00:00,KAVA/USDT,4.497,4.6756,4.0699,4.1,183837.28519426,802138.859423822447
1642550400,2022-01-19 00:00:00,KAVA/USDT,5.0177,5.0821,4.4668,4.4911,133477.25382078,632104.070539866294
