https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CRO,Volume USDT
1652400000,2022-05-13 00:00:00,CRO/USDT,0.1771,0.2025,0.1753,0.1818,25173912.39264541,4809147.728118555787
1652313600,2022-05-12 00:00:00,CRO/USDT,0.1955,0.2025,0.1678,0.177,22766623.96288878,4083112.225160490864
1652227200,2022-05-11 00:00:00,CRO/USDT,0.2305,0.2386,0.1881,0.1953,29613581.74067774,6248425.848836864423
1652140800,2022-05-10 00:00:00,CRO/USDT,0.2073,0.2418,0.2048,0.2304,21210962.36858415,4821219.840653382699
1652054400,2022-05-09 00:00:00,CRO/USDT,0.2563,0.258,0.2068,0.2074,17885305.40357218,4060397.297330923583
1651968000,2022-05-08 00:00:00,CRO/USDT,0.2718,0.2718,0.2545,0.2568,7133032.38436467,1861727.898186625913
1651881600,2022-05-07 00:00:00,CRO/USDT,0.2802,0.2807,0.2691,0.2717,3993554.02126484,1101796.724510943295
1651795200,2022-05-06 00:00:00,CRO/USDT,0.2841,0.2866,0.2729,0.28,7403003.42251104,2075136.613886784061
1651708800,2022-05-05 00:00:00,CRO/USDT,0.3121,0.315,0.2782,0.2839,12378224.54791797,3672794.621852909313
1651622400,2022-05-04 00:00:00,CRO/USDT,0.2908,0.3127,0.2893,0.3122,14473889.43232492,4372783.328820969104
1651536000,2022-05-03 00:00:00,CRO/USDT,0.2758,0.3022,0.2754,0.2908,29595713.06876358,8554624.745501276463
1651449600,2022-05-02 00:00:00,CRO/USDT,0.3132,0.3206,0.2625,0.2757,34086506.43641771,9789479.19562497196
1651363200,2022-05-01 00:00:00,CRO/USDT,0.3504,0.3629,0.2898,0.3133,31133709.00612051,9875824.507202785436
1651276800,2022-04-30 00:00:00,CRO/USDT,0.3702,0.3724,0.3493,0.3504,3809150.71014088,1375187.340808373236
1651190400,2022-04-29 00:00:00,CRO/USDT,0.389,0.3913,0.3658,0.3702,4131125.63323737,1558777.753719424514
1651104000,2022-04-28 00:00:00,CRO/USDT,0.3896,0.3935,0.3831,0.389,4263357.08455939,1659784.443418413256
1651017600,2022-04-27 00:00:00,CRO/USDT,0.3792,0.3924,0.3772,0.3895,5268531.7934181,2031103.173600468981
1650931200,2022-04-26 00:00:00,CRO/USDT,0.4031,0.4055,0.3759,0.3793,4441952.90139942,1742237.589436534463
1650844800,2022-04-25 00:00:00,CRO/USDT,0.3973,0.4053,0.3835,0.4031,6512747.26846069,2561790.217752643085
1650758400,2022-04-24 00:00:00,CRO/USDT,0.4049,0.4072,0.3967,0.3973,2874083.08279059,1157838.619149924167
1650672000,2022-04-23 00:00:00,CRO/USDT,0.404,0.4112,0.4011,0.4051,3187991.53561054,1295725.784831049758
1650585600,2022-04-22 00:00:00,CRO/USDT,0.4075,0.4142,0.3974,0.4041,3775024.95389161,1531583.478236482189
1650499200,2022-04-21 00:00:00,CRO/USDT,0.4168,0.4276,0.4032,0.4075,4341608.26392933,1816806.798205186503
1650412800,2022-04-20 00:00:00,CRO/USDT,0.4173,0.4256,0.4101,0.4168,3855523.12214068,1608209.20852173442
1650326400,2022-04-19 00:00:00,CRO/USDT,0.4112,0.4179,0.4066,0.417,4906729.94335126,2026292.213102133692
1650240000,2022-04-18 00:00:00,CRO/USDT,0.4046,0.4124,0.3906,0.4112,7022815.45918431,2808297.469549186731
1650153600,2022-04-17 00:00:00,CRO/USDT,0.4081,0.4142,0.4032,0.4045,3550736.57195886,1454806.680568957105
1650067200,2022-04-16 00:00:00,CRO/USDT,0.4078,0.4122,0.4055,0.4081,2725666.32129719,1113634.818126118953
1649980800,2022-04-15 00:00:00,CRO/USDT,0.4106,0.4155,0.4043,0.4077,3790017.93968253,1551458.821172943613
1649894400,2022-04-14 00:00:00,CRO/USDT,0.4227,0.4263,0.4079,0.4105,3238381.41226273,1350200.957289900075
1649808000,2022-04-13 00:00:00,CRO/USDT,0.4164,0.4233,0.4077,0.4228,4831344.22142448,2018270.874323400788
1649721600,2022-04-12 00:00:00,CRO/USDT,0.4033,0.423,0.4013,0.4162,6157374.66067409,2556818.314250744494
1649635200,2022-04-11 00:00:00,CRO/USDT,0.4399,0.4414,0.399,0.4032,8154881.81385074,3409889.181339517754
1649548800,2022-04-10 00:00:00,CRO/USDT,0.4451,0.4529,0.439,0.4402,3637372.36595049,1621477.787669355566
1649462400,2022-04-09 00:00:00,CRO/USDT,0.4357,0.4453,0.4333,0.4447,3849386.84130396,1687694.420154266432
1649376000,2022-04-08 00:00:00,CRO/USDT,0.4479,0.4564,0.4342,0.4356,7902577.80722001,3544097.553277110082
1649289600,2022-04-07 00:00:00,CRO/USDT,0.4396,0.4515,0.4363,0.4479,5726609.68952837,2551465.029237663671
1649203200,2022-04-06 00:00:00,CRO/USDT,0.4709,0.4709,0.4394,0.4397,9941673.3308145,4510484.263430000126
1649116800,2022-04-05 00:00:00,CRO/USDT,0.4838,0.4871,0.4696,0.4708,6819186.22478753,3263644.653748808447
1649030400,2022-04-04 00:00:00,CRO/USDT,0.48,0.4853,0.4645,0.4839,10071207.61192078,4802306.970741362802
1648944000,2022-04-03 00:00:00,CRO/USDT,0.4784,0.4871,0.4753,0.4801,8800644.02820757,4241522.998161515018
1648857600,2022-04-02 00:00:00,CRO/USDT,0.4813,0.4906,0.4749,0.4784,9082227.50638969,4383076.20611570697
1648771200,2022-04-01 00:00:00,CRO/USDT,0.4606,0.4825,0.4468,0.4812,12858090.01173527,5994789.947337840848
1648684800,2022-03-31 00:00:00,CRO/USDT,0.4737,0.4865,0.4578,0.4606,12395257.60341968,5858818.437864805585
1648598400,2022-03-30 00:00:00,CRO/USDT,0.4805,0.4812,0.4696,0.4735,10106598.74716018,4812922.917353129159
1648512000,2022-03-29 00:00:00,CRO/USDT,0.4805,0.4972,0.4763,0.4805,10829247.80097028,5288414.293416986913
1648425600,2022-03-28 00:00:00,CRO/USDT,0.4864,0.5022,0.478,0.4804,14551207.59455749,7156266.778436474561
1648339200,2022-03-27 00:00:00,CRO/USDT,0.4579,0.4867,0.4557,0.4865,8313159.31492183,3897781.436570782063
1648252800,2022-03-26 00:00:00,CRO/USDT,0.4555,0.4599,0.4489,0.458,4864833.39443815,2210066.464258723951
1648166400,2022-03-25 00:00:00,CRO/USDT,0.4504,0.4692,0.445,0.4555,12599365.69019614,5755716.324355277503
1648080000,2022-03-24 00:00:00,CRO/USDT,0.4341,0.4508,0.4316,0.4502,10900054.21931932,4814330.200930526525
1647993600,2022-03-23 00:00:00,CRO/USDT,0.4176,0.4355,0.4113,0.4341,12867975.44431843,5452708.129539345902
1647907200,2022-03-22 00:00:00,CRO/USDT,0.4046,0.4249,0.4039,0.4176,7386211.74230008,3081781.012510052246
1647820800,2022-03-21 00:00:00,CRO/USDT,0.4057,0.4123,0.3993,0.4051,4314010.52375757,1755251.849007913701
1647734400,2022-03-20 00:00:00,CRO/USDT,0.4181,0.4189,0.4034,0.4056,3275350.930031,1350530.773390833361
1647648000,2022-03-19 00:00:00,CRO/USDT,0.4058,0.4192,0.4046,0.4181,3954044.26658154,1629793.074760518333
1647561600,2022-03-18 00:00:00,CRO/USDT,0.4009,0.4141,0.3912,0.406,4900367.16459732,1967412.111727226446
1647475200,2022-03-17 00:00:00,CRO/USDT,0.4057,0.4087,0.3995,0.4008,4597543.72052993,1855160.939270161129
1647388800,2022-03-16 00:00:00,CRO/USDT,0.3842,0.4084,0.3812,0.4057,9643815.98296672,3812223.409263195006
1647302400,2022-03-15 00:00:00,CRO/USDT,0.38,0.3879,0.3718,0.3843,3965276.05837256,1506625.898228837727
1647216000,2022-03-14 00:00:00,CRO/USDT,0.3761,0.387,0.3727,0.38,4791080.99997626,1816791.044874412583
1647129600,2022-03-13 00:00:00,CRO/USDT,0.388,0.3909,0.3747,0.3762,4319518.44943772,1663910.112106239791
1647043200,2022-03-12 00:00:00,CRO/USDT,0.3816,0.3919,0.3812,0.3879,5998202.0948847,2325186.017917561721
1646956800,2022-03-11 00:00:00,CRO/USDT,0.3892,0.3976,0.3784,0.3816,9309864.71936963,3605906.507536336547
1646870400,2022-03-10 00:00:00,CRO/USDT,0.4082,0.4089,0.3802,0.3892,8555673.21018167,3327362.634505870666
1646784000,2022-03-09 00:00:00,CRO/USDT,0.3871,0.4171,0.3856,0.4081,11296448.78145231,4594855.296812244001
1646697600,2022-03-08 00:00:00,CRO/USDT,0.3779,0.3938,0.3769,0.387,7792414.05216754,3017590.156668850768
1646611200,2022-03-07 00:00:00,CRO/USDT,0.3917,0.4012,0.3716,0.378,10107425.29964012,3908733.631529393403
1646524800,2022-03-06 00:00:00,CRO/USDT,0.4093,0.4119,0.3906,0.3916,6953298.28482013,2786699.221932236095
1646438400,2022-03-05 00:00:00,CRO/USDT,0.3965,0.4099,0.3912,0.4094,6977085.210451,2806772.165954118517
1646352000,2022-03-04 00:00:00,CRO/USDT,0.4308,0.4314,0.3915,0.3965,9951477.24726549,4102557.798325045036
1646265600,2022-03-03 00:00:00,CRO/USDT,0.4457,0.4472,0.4205,0.4307,8832144.61745759,3806825.833958396656
1646179200,2022-03-02 00:00:00,CRO/USDT,0.4392,0.4535,0.4334,0.4455,13015249.80576362,5775030.229911077418
1646092800,2022-03-01 00:00:00,CRO/USDT,0.4392,0.4509,0.4294,0.4388,15632995.19763267,6879929.239120741782
1646006400,2022-02-28 00:00:00,CRO/USDT,0.3941,0.4479,0.3905,0.4393,14158251.73504306,5882367.448117687755
1645920000,2022-02-27 00:00:00,CRO/USDT,0.4141,0.4218,0.3895,0.3941,10806670.65220539,4383553.322625758507
1645833600,2022-02-26 00:00:00,CRO/USDT,0.4179,0.4276,0.4109,0.414,8644945.44045254,3627787.467302719024
1645747200,2022-02-25 00:00:00,CRO/USDT,0.3949,0.4216,0.3939,0.4179,13405837.59387165,5482058.683946961084
1645660800,2022-02-24 00:00:00,CRO/USDT,0.3965,0.409,0.347,0.3949,32585673.78130787,12081455.967946442271
1645574400,2022-02-23 00:00:00,CRO/USDT,0.4034,0.4203,0.3955,0.3966,13632645.6639835,5581396.238914013683
1645488000,2022-02-22 00:00:00,CRO/USDT,0.3857,0.4055,0.37,0.4029,14552683.12198866,5595858.71305323858
1645401600,2022-02-21 00:00:00,CRO/USDT,0.4037,0.4211,0.3838,0.3856,16902942.90960099,6842048.720524385832
1645315200,2022-02-20 00:00:00,CRO/USDT,0.4368,0.4398,0.4016,0.4035,11598459.25079631,4837233.429660238951
1645228800,2022-02-19 00:00:00,CRO/USDT,0.4352,0.4499,0.4337,0.4364,9986678.55065707,4395749.108801703882
1645142400,2022-02-18 00:00:00,CRO/USDT,0.4302,0.4576,0.4266,0.4352,17561090.62257539,7759463.278009235066
1645056000,2022-02-17 00:00:00,CRO/USDT,0.479,0.4838,0.4258,0.4301,18024860.43499209,8200325.184360328976
1644969600,2022-02-16 00:00:00,CRO/USDT,0.4957,0.496,0.4727,0.479,12351606.94167045,5986733.129409051469
1644883200,2022-02-15 00:00:00,CRO/USDT,0.4696,0.5024,0.4618,0.4957,20612415.66967852,10076242.722557767905
1644796800,2022-02-14 00:00:00,CRO/USDT,0.4999,0.5063,0.4581,0.4694,34853641.78917162,16698398.714809871495
1644710400,2022-02-13 00:00:00,CRO/USDT,0.4869,0.5212,0.4833,0.4996,41185800.02573919,20882111.662121611749
1644624000,2022-02-12 00:00:00,CRO/USDT,0.4794,0.497,0.4732,0.487,22052793.2381474,10705750.371336072342
1644537600,2022-02-11 00:00:00,CRO/USDT,0.5071,0.5247,0.4674,0.4796,29978580.82239279,15014142.773526040669
1644451200,2022-02-10 00:00:00,CRO/USDT,0.5153,0.543,0.4956,0.5072,39144266.6564535,20441234.24303808259
1644364800,2022-02-09 00:00:00,CRO/USDT,0.4873,0.52,0.4775,0.5153,20195670.12847657,10168215.312950319608
1644278400,2022-02-08 00:00:00,CRO/USDT,0.4947,0.5177,0.4747,0.4872,24575416.67847372,12191048.550134910411
1644192000,2022-02-07 00:00:00,CRO/USDT,0.463,0.5039,0.455,0.495,30158736.9681345,14624736.552932110503
1644105600,2022-02-06 00:00:00,CRO/USDT,0.4477,0.4637,0.4436,0.4628,10565004.08015428,4781431.554178312843
1644019200,2022-02-05 00:00:00,CRO/USDT,0.4363,0.4609,0.4282,0.4475,22991339.35625295,10267140.2019923974
1643932800,2022-02-04 00:00:00,CRO/USDT,0.4039,0.4388,0.4,0.4363,15825424.84984168,6650966.813817045855
1643846400,2022-02-03 00:00:00,CRO/USDT,0.4026,0.4067,0.3911,0.4039,11353180.04810191,4525728.254415096
1643760000,2022-02-02 00:00:00,CRO/USDT,0.4365,0.4376,0.3981,0.4031,13284780.61014823,5538526.151738496846
1643673600,2022-02-01 00:00:00,CRO/USDT,0.428,0.4381,0.4221,0.4366,13795330.53655213,5935326.993886925189
1643587200,2022-01-31 00:00:00,CRO/USDT,0.4245,0.4316,0.4012,0.4282,16390664.13074632,6830777.862723342677
1643500800,2022-01-30 00:00:00,CRO/USDT,0.4326,0.441,0.4166,0.4245,12030173.48839474,5154695.766271303927
1643414400,2022-01-29 00:00:00,CRO/USDT,0.4208,0.4432,0.4156,0.432,18254774.27902533,7842230.673185555833
1643328000,2022-01-28 00:00:00,CRO/USDT,0.4005,0.4245,0.3891,0.4207,21040963.46099925,8542233.803439705992
1643241600,2022-01-27 00:00:00,CRO/USDT,0.399,0.412,0.3803,0.4008,21109793.76265599,8334549.279998665219
1643155200,2022-01-26 00:00:00,CRO/USDT,0.3918,0.4296,0.3868,0.3993,37182706.90505425,15185165.956031969907
1643068800,2022-01-25 00:00:00,CRO/USDT,0.3746,0.3986,0.3655,0.3916,23957358.20486088,9175848.97143144272
1642982400,2022-01-24 00:00:00,CRO/USDT,0.3783,0.3783,0.3291,0.3745,34672351.52136753,12281497.652628364573
1642896000,2022-01-23 00:00:00,CRO/USDT,0.3377,0.3827,0.3358,0.3783,26180099.72321677,9416790.722524873558
1642809600,2022-01-22 00:00:00,CRO/USDT,0.3633,0.3714,0.3251,0.3377,32850570.26900352,11310924.542817755563
1642723200,2022-01-21 00:00:00,CRO/USDT,0.4347,0.439,0.3518,0.3635,46823062.16660704,18835850.762586634927
1642636800,2022-01-20 00:00:00,CRO/USDT,0.4318,0.4752,0.4264,0.4348,34336697.05630869,15559268.906057500706
1642550400,2022-01-19 00:00:00,CRO/USDT,0.4443,0.4486,0.43,0.4317,13480860.54150078,5905894.929036782083
1642464000,2022-01-18 00:00:00,CRO/USDT,0.4439,0.453,0.4328,0.4443,19996571.33828457,8846818.54095199063
1642377600,2022-01-17 00:00:00,CRO/USDT,0.4638,0.4644,0.4363,0.4438,19538287.41805902,8778437.552549054011
1642291200,2022-01-16 00:00:00,CRO/USDT,0.4671,0.4727,0.4601,0.4635,13803490.41649749,6438394.998931213693
1642204800,2022-01-15 00:00:00,CRO/USDT,0.4567,0.4744,0.455,0.4674,17756400.16663484,8256858.089726281773
1642118400,2022-01-14 00:00:00,CRO/USDT,0.4561,0.4698,0.4452,0.4568,19612389.76735452,8957067.130297378606
1642032000,2022-01-13 00:00:00,CRO/USDT,0.4865,0.4932,0.4534,0.4563,25278641.56747467,11979503.121755615239
1641945600,2022-01-12 00:00:00,CRO/USDT,0.4587,0.4953,0.4577,0.4866,29027529.03174445,13977901.451375435359
1641859200,2022-01-11 00:00:00,CRO/USDT,0.4445,0.4658,0.4388,0.4586,21214459.08625054,9624959.17606974656
1641772800,2022-01-10 00:00:00,CRO/USDT,0.4613,0.4718,0.4287,0.4447,25820217.73285777,11620057.584889746983
1641686400,2022-01-09 00:00:00,CRO/USDT,0.4533,0.4777,0.4482,0.4614,15465197.63855062,7155607.930332138542
1641600000,2022-01-08 00:00:00,CRO/USDT,0.4636,0.4834,0.4411,0.4534,21737797.39456847,10046156.712368814199
1641513600,2022-01-07 00:00:00,CRO/USDT,0.5031,0.5045,0.4612,0.4635,28742448.70898877,13756933.584706298267
1641427200,2022-01-06 00:00:00,CRO/USDT,0.5017,0.515,0.4844,0.5032,30384497.62582827,15159508.473687340652
1641340800,2022-01-05 00:00:00,CRO/USDT,0.5516,0.5592,0.4795,0.5014,36934559.32415282,19263494.990816071659
1641254400,2022-01-04 00:00:00,CRO/USDT,0.5668,0.5755,0.5461,0.5515,19279365.05277265,10796647.99611160809
1641168000,2022-01-03 00:00:00,CRO/USDT,0.5871,0.5871,0.5531,0.5667,24398125.1288444,13939105.304965632163
1641081600,2022-01-02 00:00:00,CRO/USDT,0.5855,0.5889,0.5722,0.5874,18977479.71179362,11052518.183175241616
1640995200,2022-01-01 00:00:00,CRO/USDT,0.5566,0.5889,0.5557,0.5857,17172790.13737454,9827809.923177269509
1640908800,2021-12-31 00:00:00,CRO/USDT,0.5533,0.586,0.5467,0.5566,30473842.74726412,17231953.741009511204
1640822400,2021-12-30 00:00:00,CRO/USDT,0.546,0.5686,0.5387,0.5531,26966267.62889352,14961978.083282448916
1640736000,2021-12-29 00:00:00,CRO/USDT,0.5655,0.5817,0.541,0.546,33214738.75153218,18691440.008509654914
1640649600,2021-12-28 00:00:00,CRO/USDT,0.6228,0.623,0.5519,0.5655,50948393.61552859,29790481.701700390276
