https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HBAR,Volume USDT
1647302400,2022-03-15 00:00:00,HBAR/USDT,0.2037,0.20418,0.1958,0.20023,6106236.61033437,1219177.8320606381325
1647216000,2022-03-14 00:00:00,HBAR/USDT,0.19924,0.2057,0.1985,0.20373,5479206.49808463,1104728.452679983
1647129600,2022-03-13 00:00:00,HBAR/USDT,0.20537,0.20927,0.19745,0.19935,4894682.05675844,997797.6973438622203
1647043200,2022-03-12 00:00:00,HBAR/USDT,0.20532,0.21219,0.20522,0.20537,5774824.47507595,1203100.3607880565568
1646956800,2022-03-11 00:00:00,HBAR/USDT,0.21626,0.21626,0.20479,0.20559,6597388.8539702,1383107.0058629042777
1646870400,2022-03-10 00:00:00,HBAR/USDT,0.21273,0.22149,0.2018,0.21628,10427725.87303682,2199530.1189398020059
1646784000,2022-03-09 00:00:00,HBAR/USDT,0.20489,0.21542,0.20384,0.21289,8242890.7528979,1739882.0424423978936
1646697600,2022-03-08 00:00:00,HBAR/USDT,0.2059,0.21381,0.20162,0.20509,7494543.5799526,1550139.1099354994261
1646611200,2022-03-07 00:00:00,HBAR/USDT,0.20254,0.21357,0.19815,0.206,6268628.88896638,1287678.36634284149
1646524800,2022-03-06 00:00:00,HBAR/USDT,0.20998,0.21189,0.20088,0.20251,5203903.86682455,1075782.3747635675691
1646438400,2022-03-05 00:00:00,HBAR/USDT,0.20544,0.21226,0.2015,0.21024,4904452.47191835,1019015.1909123355458
1646352000,2022-03-04 00:00:00,HBAR/USDT,0.22104,0.22132,0.20326,0.20572,7259131.23006373,1525703.7764790377948
1646265600,2022-03-03 00:00:00,HBAR/USDT,0.22282,0.22983,0.21445,0.22104,7405468.36198941,1643438.0247419558019
1646179200,2022-03-02 00:00:00,HBAR/USDT,0.22731,0.22838,0.21789,0.2227,8906905.26053268,1992112.946348167438
1646092800,2022-03-01 00:00:00,HBAR/USDT,0.23038,0.23526,0.22218,0.2273,17414355.05878133,3972523.8380073147843
1646006400,2022-02-28 00:00:00,HBAR/USDT,0.20965,0.231,0.20716,0.23038,10893814.36700008,2404065.2390275168396
1645920000,2022-02-27 00:00:00,HBAR/USDT,0.22362,0.22563,0.20647,0.20992,10138916.15219668,2186343.001457600411
1645833600,2022-02-26 00:00:00,HBAR/USDT,0.22501,0.233,0.21904,0.22328,8014278.04034084,1803481.4926569377459
1645747200,2022-02-25 00:00:00,HBAR/USDT,0.21606,0.22966,0.208,0.2251,14950442.08303377,3286245.2832258718782
1645660800,2022-02-24 00:00:00,HBAR/USDT,0.21827,0.22612,0.187,0.21617,33789276.87133565,6868238.7475798180493
1645574400,2022-02-23 00:00:00,HBAR/USDT,0.23531,0.23942,0.21777,0.21829,19473791.06273247,4447702.7068810858544
1645488000,2022-02-22 00:00:00,HBAR/USDT,0.20107,0.24253,0.19456,0.23536,33156592.27738256,7345046.0041236926458
1645401600,2022-02-21 00:00:00,HBAR/USDT,0.21511,0.225,0.19646,0.20112,11091404.38509148,2346322.7857937923063
1645315200,2022-02-20 00:00:00,HBAR/USDT,0.23195,0.23552,0.21312,0.21512,10317158.23094843,2289719.6484811430121
1645228800,2022-02-19 00:00:00,HBAR/USDT,0.22837,0.23473,0.2222,0.23217,7353630.05680854,1687867.0462068428256
1645142400,2022-02-18 00:00:00,HBAR/USDT,0.23468,0.24215,0.22509,0.22837,10202517.1216025,2378366.6609924832502
1645056000,2022-02-17 00:00:00,HBAR/USDT,0.26143,0.26314,0.23281,0.23469,14253225.95886196,3536839.0690236219554
1644969600,2022-02-16 00:00:00,HBAR/USDT,0.25909,0.26663,0.24772,0.26066,12629113.36775816,3242932.0727530985504
1644883200,2022-02-15 00:00:00,HBAR/USDT,0.24234,0.26501,0.24144,0.25909,25679883.92221297,6574409.4517194680137
1644796800,2022-02-14 00:00:00,HBAR/USDT,0.22674,0.24939,0.22136,0.24211,15279462.50624854,3599660.2060142007407
1644710400,2022-02-13 00:00:00,HBAR/USDT,0.23133,0.23401,0.22184,0.22666,6626426.87417583,1515692.9709655598506
1644624000,2022-02-12 00:00:00,HBAR/USDT,0.23336,0.24048,0.2237,0.23113,8350460.56593861,1935447.7906521033463
1644537600,2022-02-11 00:00:00,HBAR/USDT,0.24564,0.25357,0.23068,0.23349,12254443.24601167,2966672.5701545422479
1644451200,2022-02-10 00:00:00,HBAR/USDT,0.25656,0.26119,0.24061,0.24579,12900856.79580851,3257421.8308872706469
1644364800,2022-02-09 00:00:00,HBAR/USDT,0.25411,0.26003,0.24733,0.2564,8733711.25483963,2224137.5466277597459
1644278400,2022-02-08 00:00:00,HBAR/USDT,0.26113,0.26398,0.23891,0.25413,22319047.565353,5603269.6765408926831
1644192000,2022-02-07 00:00:00,HBAR/USDT,0.25844,0.26936,0.25109,0.26093,18134286.40917536,4746043.8589829388107
1644105600,2022-02-06 00:00:00,HBAR/USDT,0.25776,0.2609,0.24936,0.25849,9381624.84529598,2389891.656311156739
1644019200,2022-02-05 00:00:00,HBAR/USDT,0.24874,0.26284,0.24732,0.25724,14337804.56095073,3672008.5452327147092
1643932800,2022-02-04 00:00:00,HBAR/USDT,0.23786,0.24948,0.23521,0.24859,15776497.87983392,3842752.9519301739311
1643846400,2022-02-03 00:00:00,HBAR/USDT,0.22013,0.24899,0.21384,0.23764,25248611.41057614,5948368.1123468858917
1643760000,2022-02-02 00:00:00,HBAR/USDT,0.22935,0.23416,0.21857,0.2202,8860982.5764484,2002188.4619601298426
