https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USDT
1652054400,2022-05-09 00:00:00,ATOM/USDT,15.7088,15.9929,12.2259,12.4976,1935547.76468352,27877988.407283123025
1651968000,2022-05-08 00:00:00,ATOM/USDT,16.4229,16.535,15.56,15.7,728017.67957709,11678684.731692505423
1651881600,2022-05-07 00:00:00,ATOM/USDT,17.6641,17.6987,16.0214,16.436,480415.52223965,8100538.996989592903
1651795200,2022-05-06 00:00:00,ATOM/USDT,17.8411,17.9879,17.1173,17.6631,446154.71197004,7866842.711107904026
1651708800,2022-05-05 00:00:00,ATOM/USDT,19.9229,20.3409,17.1178,17.8384,596571.45439171,11168282.227762400699
1651622400,2022-05-04 00:00:00,ATOM/USDT,17.5773,20.05,17.4701,19.9179,609549.83956922,11495903.933596735897
1651536000,2022-05-03 00:00:00,ATOM/USDT,17.8098,18.9957,17.4526,17.5682,394338.63274733,7195740.030983965323
1651449600,2022-05-02 00:00:00,ATOM/USDT,17.993,18.3476,17.2229,17.8028,535542.97790767,9541693.961882092695
1651363200,2022-05-01 00:00:00,ATOM/USDT,17.8409,18.6748,17.55,17.9956,517788.15928566,9365456.458495682547
1651276800,2022-04-30 00:00:00,ATOM/USDT,19.4428,19.5761,17.241,17.8402,430023.22139523,7947605.514507821935
1651190400,2022-04-29 00:00:00,ATOM/USDT,20.7562,20.8774,19.22,19.4438,418108.78615788,8394397.322260353109
1651104000,2022-04-28 00:00:00,ATOM/USDT,21.4358,21.4684,20.4274,20.7485,352569.16375954,7399385.823248298754
1651017600,2022-04-27 00:00:00,ATOM/USDT,20.307,21.8891,20.1235,21.4461,440724.90846862,9380571.370218631816
1650931200,2022-04-26 00:00:00,ATOM/USDT,22.1315,22.3028,19.9707,20.3042,299452.70746286,6361674.580143414696
1650844800,2022-04-25 00:00:00,ATOM/USDT,22.2863,22.3736,20.7783,22.1291,361972.64026964,7804091.917157573752
1650758400,2022-04-24 00:00:00,ATOM/USDT,23.2202,23.3059,22.2703,22.2852,184159.93831467,4186022.466236705737
1650672000,2022-04-23 00:00:00,ATOM/USDT,23.0923,23.4806,22.75,23.2151,211485.03486595,4891720.083678027703
1650585600,2022-04-22 00:00:00,ATOM/USDT,23.302,23.8566,22.8879,23.096,261195.11925848,6100139.209179945229
1650499200,2022-04-21 00:00:00,ATOM/USDT,24.2805,24.9587,22.9196,23.3142,346471.12663047,8382515.566874488765
1650412800,2022-04-20 00:00:00,ATOM/USDT,24.6716,25.0879,24.023,24.279,287696.02300805,7052069.165358488077
1650326400,2022-04-19 00:00:00,ATOM/USDT,24.0658,24.7211,23.7589,24.6692,285376.89007999,6924916.986309836428
1650240000,2022-04-18 00:00:00,ATOM/USDT,23.2157,24.1348,22.4368,24.0658,272772.74482872,6337207.27491246197
1650153600,2022-04-17 00:00:00,ATOM/USDT,24.1841,24.4756,23.0833,23.2157,163126.24419623,3909717.042814570585
1650067200,2022-04-16 00:00:00,ATOM/USDT,24.1069,24.4375,23.8491,24.1719,111722.28210766,2700485.497641786032
1649980800,2022-04-15 00:00:00,ATOM/USDT,23.9603,24.3734,23.7782,24.1095,181728.17111934,4374846.472928787273
1649894400,2022-04-14 00:00:00,ATOM/USDT,24.68,25.1452,23.742,23.9628,400346.68890877,9796437.466242836871
1649808000,2022-04-13 00:00:00,ATOM/USDT,24.638,25.2059,24.1071,24.6761,348272.89955432,8597709.542967690779
1649721600,2022-04-12 00:00:00,ATOM/USDT,23.8502,25.453,23.6801,24.6374,502822.00179983,12336278.501553599245
1649635200,2022-04-11 00:00:00,ATOM/USDT,26.508,26.6034,23.3097,23.8494,738263.97206369,18592767.67877097257
1649548800,2022-04-10 00:00:00,ATOM/USDT,27.2766,27.4206,26.3957,26.5029,247508.52244547,6665573.654769202503
1649462400,2022-04-09 00:00:00,ATOM/USDT,26.8765,27.4271,26.5996,27.2698,256278.50602756,6925921.559117172951
1649376000,2022-04-08 00:00:00,ATOM/USDT,27.6545,28.9473,26.6215,26.8953,583344.70649009,16218432.506862024451
1649289600,2022-04-07 00:00:00,ATOM/USDT,26.8846,27.8963,26.28,27.6546,416416.79547671,11339777.430197675755
1649203200,2022-04-06 00:00:00,ATOM/USDT,29.3078,29.4318,26.6889,26.8945,827820.02588096,23213517.052986813596
1649116800,2022-04-05 00:00:00,ATOM/USDT,30.8441,31.2167,29.1635,29.2922,543130.35971979,16432846.581831219575
1649030400,2022-04-04 00:00:00,ATOM/USDT,31.9521,32.5374,30.0628,30.8423,630347.88560921,19756910.727916314956
1648944000,2022-04-03 00:00:00,ATOM/USDT,31.3053,33.266,30.5134,31.9613,878679.46296757,28296421.15493259781
1648857600,2022-04-02 00:00:00,ATOM/USDT,29.4007,32.7886,29.2372,31.2755,1018352.08750366,31582310.175377783072
1648771200,2022-04-01 00:00:00,ATOM/USDT,28.8883,29.6713,27.706,29.4099,741595.3615518,21289089.085242055021
1648684800,2022-03-31 00:00:00,ATOM/USDT,30.0385,31.3202,28.3578,28.8893,966654.05174276,28749454.102017748897
1648598400,2022-03-30 00:00:00,ATOM/USDT,30.2286,31.3301,29.3081,30.0385,748482.49378382,22707542.440903940579
1648512000,2022-03-29 00:00:00,ATOM/USDT,29.3754,31.7264,29.3148,30.2207,822261.77019232,25154968.766136124797
1648425600,2022-03-28 00:00:00,ATOM/USDT,29.9523,31.4884,29.1736,29.3815,841212.70127191,25662680.562808158731
1648339200,2022-03-27 00:00:00,ATOM/USDT,28.7782,29.9633,28.1109,29.9632,279579.83139111,8105599.039554708471
1648252800,2022-03-26 00:00:00,ATOM/USDT,28.1099,28.9491,27.9999,28.7828,300525.71855217,8567970.76613109762
1648166400,2022-03-25 00:00:00,ATOM/USDT,29.2746,30.01,27.6851,28.1099,736415.53512785,21390825.672703193371
1648080000,2022-03-24 00:00:00,ATOM/USDT,28.2465,29.4562,27.9138,29.2746,627322.23334273,17994204.109145967535
1647993600,2022-03-23 00:00:00,ATOM/USDT,28.0177,28.3694,27.2075,28.2434,477114.79200903,13253437.535029002796
1647907200,2022-03-22 00:00:00,ATOM/USDT,27.9131,28.9579,27.6371,28.0152,463846.00967515,13128319.96204000775
1647820800,2022-03-21 00:00:00,ATOM/USDT,27.8311,28.3889,27.5529,27.924,361547.3005019,10117189.37327545562
1647734400,2022-03-20 00:00:00,ATOM/USDT,28.6347,28.829,27.4833,27.822,343484.56197457,9658148.201306717813
1647648000,2022-03-19 00:00:00,ATOM/USDT,28.6073,29.4215,28.33,28.6492,477832.62840459,13805546.259152039246
1647561600,2022-03-18 00:00:00,ATOM/USDT,28.1581,28.7768,27.189,28.6074,457209.10611308,12762466.437863136724
1647475200,2022-03-17 00:00:00,ATOM/USDT,28.9477,29.0155,28.0898,28.1554,470732.92060397,13405479.965760818658
1647388800,2022-03-16 00:00:00,ATOM/USDT,26.9004,29.0961,26.5245,28.9427,836752.02723969,23299769.623189114493
1647302400,2022-03-15 00:00:00,ATOM/USDT,26.8361,27.7505,26.1783,26.9014,649075.5123486,17550598.716491077677
1647216000,2022-03-14 00:00:00,ATOM/USDT,26.2351,27.17,25.75,26.8522,493822.10742032,13084280.819757978281
1647129600,2022-03-13 00:00:00,ATOM/USDT,27.2244,27.5316,25.9569,26.2334,517408.54889043,13988206.503119729535
1647043200,2022-03-12 00:00:00,ATOM/USDT,27.4625,28.256,27.141,27.2012,438843.77928447,12143394.224615407052
1646956800,2022-03-11 00:00:00,ATOM/USDT,28.0065,28.4869,26.822,27.4717,743237.76892343,20582138.071700498776
1646870400,2022-03-10 00:00:00,ATOM/USDT,30.043,30.3374,27.406,28.0127,786240.40584668,22394696.021179813361
1646784000,2022-03-09 00:00:00,ATOM/USDT,27.8564,31.3672,27.7765,30.0315,1166425.77736128,35149418.906727888114
1646697600,2022-03-08 00:00:00,ATOM/USDT,28.2939,29.308,27.3535,27.8581,1142994.42287025,32343522.669538516108
1646611200,2022-03-07 00:00:00,ATOM/USDT,28.1445,29.5747,27.1256,28.2945,1299778.77408079,36773916.413901798756
1646524800,2022-03-06 00:00:00,ATOM/USDT,30.8717,30.9459,27.9067,28.1329,985110.75522989,28810332.462952672545
1646438400,2022-03-05 00:00:00,ATOM/USDT,30.4669,31.6719,29.5,30.873,989582.66994257,30128324.486016819695
1646352000,2022-03-04 00:00:00,ATOM/USDT,34.0471,34.6822,30.28,30.4715,1583979.61342889,52172022.482895315195
1646265600,2022-03-03 00:00:00,ATOM/USDT,32.2467,34.4368,31.1506,34.0533,1845742.54414071,60743763.764947804688
1646179200,2022-03-02 00:00:00,ATOM/USDT,31.1485,32.7943,29.8277,32.2234,1497522.4631069,46856840.448988918217
1646092800,2022-03-01 00:00:00,ATOM/USDT,31.3707,33.0264,30.2113,31.1501,1275042.88316566,40271355.496049735277
1646006400,2022-02-28 00:00:00,ATOM/USDT,26.7667,31.7672,26.3847,31.3808,1384493.38639896,39609934.736861360289
1645920000,2022-02-27 00:00:00,ATOM/USDT,29.8758,29.9188,26.2846,26.7611,1024171.78599229,28986996.238270021187
1645833600,2022-02-26 00:00:00,ATOM/USDT,27.2691,30.3163,27.1287,29.8754,1152535.67028195,33130745.433281429878
1645747200,2022-02-25 00:00:00,ATOM/USDT,24.8611,27.4555,24.2472,27.252,1248059.61959947,31934877.536908089735
1645660800,2022-02-24 00:00:00,ATOM/USDT,25.1705,25.5416,21.5454,24.857,2352218.83738867,54367533.943879469171
1645574400,2022-02-23 00:00:00,ATOM/USDT,24.8169,26.9199,24.5954,25.1687,1423695.47875778,36760239.04384083348
