https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HT,Volume USDT
1649203200,2022-04-06 00:00:00,HT/USDT,9.6749,9.6749,9.0062,9.0076,39666.87889745,369255.7630276835
1649116800,2022-04-05 00:00:00,HT/USDT,9.7841,9.8282,9.5694,9.679,15235.19811378,147870.846285583475
1649030400,2022-04-04 00:00:00,HT/USDT,9.7973,9.9401,9.5053,9.7866,37664.53462985,368877.645729199244
1648944000,2022-04-03 00:00:00,HT/USDT,9.7,9.8601,9.5688,9.7965,24338.24195951,237794.96430828394
1648857600,2022-04-02 00:00:00,HT/USDT,9.5127,9.98,9.4941,9.7,83913.9692229,816763.755591433525
1648771200,2022-04-01 00:00:00,HT/USDT,9.3724,9.5027,9.1926,9.5027,48202.34834926,450954.557307926428
1648684800,2022-03-31 00:00:00,HT/USDT,9.3001,9.5425,9.1861,9.376,31845.12006418,301876.236155536615
1648598400,2022-03-30 00:00:00,HT/USDT,9.3981,9.4334,9.1974,9.302,7979.87154174,74252.419278244325
1648512000,2022-03-29 00:00:00,HT/USDT,9.1797,9.5289,9.175,9.4054,3639.56306183,34194.346700274181
1648425600,2022-03-28 00:00:00,HT/USDT,9.0985,9.3975,8.9856,9.1797,10662.76280902,97545.849580221313
1648339200,2022-03-27 00:00:00,HT/USDT,9.0655,9.1,8.9856,9.0992,4909.17106238,44352.347336583192
1648252800,2022-03-26 00:00:00,HT/USDT,8.8538,9.0655,8.8538,9.0647,2706.41402793,24314.570423832228
1648166400,2022-03-25 00:00:00,HT/USDT,8.9848,8.9851,8.8018,8.8686,4329.50303503,38510.090803336512
1648080000,2022-03-24 00:00:00,HT/USDT,9.1305,9.1698,8.8999,8.9769,6149.71845559,55367.803737155343
1647993600,2022-03-23 00:00:00,HT/USDT,9.1193,9.15,9.055,9.0893,4972.04206418,45147.323765096226
1647907200,2022-03-22 00:00:00,HT/USDT,9.1246,9.19,9.1099,9.1163,3348.3278897,30645.769796677241
1647820800,2022-03-21 00:00:00,HT/USDT,9.1361,9.1554,9.0564,9.111,4955.11648873,45174.492220359126
1647734400,2022-03-20 00:00:00,HT/USDT,9.1371,9.1827,9.093,9.1282,3068.22420964,28005.310103397691
1647648000,2022-03-19 00:00:00,HT/USDT,9.1112,9.19,9.0599,9.1368,3881.77790049,35476.481475712974
1647561600,2022-03-18 00:00:00,HT/USDT,9.092,9.1379,9.0006,9.1216,1433.57865383,12999.234546477753
1647475200,2022-03-17 00:00:00,HT/USDT,8.9572,9.1179,8.8895,9.0885,3677.77820291,33205.015039361334
1647388800,2022-03-16 00:00:00,HT/USDT,8.9083,9.0042,8.7001,8.9454,6324.54336714,55917.063963073673
1647302400,2022-03-15 00:00:00,HT/USDT,8.9971,9.0202,8.859,8.8935,2397.83759245,21336.214260036681
1647216000,2022-03-14 00:00:00,HT/USDT,8.887,9.0039,8.8753,8.9971,5212.24303829,46576.197459709928
1647129600,2022-03-13 00:00:00,HT/USDT,8.888,8.9425,8.8616,8.8857,2044.63612546,18183.577594651233
1647043200,2022-03-12 00:00:00,HT/USDT,8.9046,9.0293,8.8894,8.8894,5063.37595707,45258.325723886973
1646956800,2022-03-11 00:00:00,HT/USDT,9.158,9.158,8.8138,8.9204,7499.04557827,67011.095752713862
1646870400,2022-03-10 00:00:00,HT/USDT,9.122,9.1858,9.0023,9.1821,3948.87777686,35832.868888855977
1646784000,2022-03-09 00:00:00,HT/USDT,9.2049,9.3,9.0694,9.1293,3627.73327084,33205.23066583422
1646697600,2022-03-08 00:00:00,HT/USDT,9.1035,9.2609,9.0725,9.2101,4028.34092532,36924.710848739151
1646611200,2022-03-07 00:00:00,HT/USDT,9.09,9.2268,8.9862,9.1041,2840.2691011,25877.47745249369
1646524800,2022-03-06 00:00:00,HT/USDT,9.2594,9.3319,9.1,9.1086,2357.47847644,21688.840267145398
1646438400,2022-03-05 00:00:00,HT/USDT,9.1434,9.2809,8.9997,9.2599,3507.42029972,31913.302038318516
1646352000,2022-03-04 00:00:00,HT/USDT,9.5167,9.5167,9.1149,9.197,2513.8906861,23412.111590978035
1646265600,2022-03-03 00:00:00,HT/USDT,9.5078,9.5641,9.3821,9.502,2420.08298436,22924.045597656242
1646179200,2022-03-02 00:00:00,HT/USDT,9.5434,9.6245,9.4172,9.5331,1695.72538841,16105.77612719126
1646092800,2022-03-01 00:00:00,HT/USDT,9.4368,9.5837,9.3269,9.5133,3302.83109429,31069.313191380583
1646006400,2022-02-28 00:00:00,HT/USDT,9.072,9.4369,9.066,9.4131,2178.12091562,20065.514263806797
1645920000,2022-02-27 00:00:00,HT/USDT,9.087,9.2482,8.9756,9.0662,5116.12753484,46715.001454473016
1645833600,2022-02-26 00:00:00,HT/USDT,9.0903,9.1882,8.9958,9.0848,3590.25080269,32629.353138192419
1645747200,2022-02-25 00:00:00,HT/USDT,8.5781,9.1287,8.5781,9.0604,3448.85300406,30680.762197445023
1645660800,2022-02-24 00:00:00,HT/USDT,9.177,9.2045,7.9105,8.5762,31603.27433817,265432.441074479934
1645574400,2022-02-23 00:00:00,HT/USDT,9.2543,9.3692,9.1302,9.1734,7620.04619851,70507.581817065108
