https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STX,Volume USDT
1647388800,2022-03-16 00:00:00,STX/USDT,1.2215,1.2759,1.2041,1.2724,819492.58487343,1016305.487047065273
1647302400,2022-03-15 00:00:00,STX/USDT,1.2715,1.2755,1.2036,1.2212,301507.68782366,369200.921195186016
1647216000,2022-03-14 00:00:00,STX/USDT,1.2233,1.3357,1.205,1.2732,626095.6177174,784688.0092645278
1647129600,2022-03-13 00:00:00,STX/USDT,1.3233,1.3323,1.2163,1.2238,517109.55206999,667193.967516099275
1647043200,2022-03-12 00:00:00,STX/USDT,1.355,1.411,1.3009,1.3217,1100704.16950228,1487463.328924403024
1646956800,2022-03-11 00:00:00,STX/USDT,1.4993,1.6269,1.3306,1.359,6080377.86643964,8816667.485846301919
1646870400,2022-03-10 00:00:00,STX/USDT,1.1226,1.918,1.056,1.4979,7078962.45588945,10746331.188044933019
1646784000,2022-03-09 00:00:00,STX/USDT,1.0607,1.1733,1.0598,1.1238,404561.80844464,453259.330018782648
1646697600,2022-03-08 00:00:00,STX/USDT,1.0461,1.0762,1.0417,1.0588,341722.95866884,362617.117074151971
1646611200,2022-03-07 00:00:00,STX/USDT,1.0766,1.0956,1.032,1.0494,417018.57035148,441258.963694490605
1646524800,2022-03-06 00:00:00,STX/USDT,1.132,1.1393,1.0679,1.0769,372515.65593069,406296.255685395514
1646438400,2022-03-05 00:00:00,STX/USDT,1.1102,1.1423,1.0876,1.1295,235981.03246268,263104.204895515423
1646352000,2022-03-04 00:00:00,STX/USDT,1.1992,1.2021,1.1,1.1097,372064.13995188,425255.502713470558
1646265600,2022-03-03 00:00:00,STX/USDT,1.2377,1.2632,1.1817,1.2019,452593.46351687,550352.361042621126
1646179200,2022-03-02 00:00:00,STX/USDT,1.2809,1.2866,1.2155,1.2395,748465.30572026,933301.854885359944
1646092800,2022-03-01 00:00:00,STX/USDT,1.2466,1.2926,1.2167,1.2829,575707.42624998,719321.602277333609
1646006400,2022-02-28 00:00:00,STX/USDT,1.1175,1.2622,1.0951,1.2469,1039877.08642081,1247988.916248748862
1645920000,2022-02-27 00:00:00,STX/USDT,1.1836,1.1973,1.112,1.1186,543966.88543128,628949.32958835471
1645833600,2022-02-26 00:00:00,STX/USDT,1.1587,1.2079,1.1536,1.1836,494436.91979369,583212.666796446472
1645747200,2022-02-25 00:00:00,STX/USDT,1.1118,1.1725,1.1056,1.1601,713187.7014264,808454.640209124023
1645660800,2022-02-24 00:00:00,STX/USDT,1.1374,1.1508,0.9743,1.1134,2071122.76037486,2195948.641664311526
1645574400,2022-02-23 00:00:00,STX/USDT,1.1645,1.2756,1.1359,1.1426,307013.74106044,367147.686819072049
1645488000,2022-02-22 00:00:00,STX/USDT,1.112,1.1647,1.0482,1.1643,365236.30633417,403992.691550362289
1645401600,2022-02-21 00:00:00,STX/USDT,1.226,1.282,1.1069,1.1106,578118.35755676,692596.909841402411
1645315200,2022-02-20 00:00:00,STX/USDT,1.3169,1.3175,1.2088,1.2308,306229.55960759,384328.077955897054
1645228800,2022-02-19 00:00:00,STX/USDT,1.3368,1.3485,1.2712,1.3164,158753.87527702,209134.489403943256
1645142400,2022-02-18 00:00:00,STX/USDT,1.3911,1.4218,1.3145,1.3389,397034.00577103,545359.791689525721
1645056000,2022-02-17 00:00:00,STX/USDT,1.5478,1.5563,1.3827,1.3904,412236.36417507,593966.733346747304
1644969600,2022-02-16 00:00:00,STX/USDT,1.5855,1.5882,1.4984,1.5478,306111.71182055,472405.655326279722
1644883200,2022-02-15 00:00:00,STX/USDT,1.4697,1.6312,1.4618,1.5877,348625.48693442,543739.108675658502
1644796800,2022-02-14 00:00:00,STX/USDT,1.4574,1.4752,1.4037,1.4681,341586.37520277,488600.487294436421
1644710400,2022-02-13 00:00:00,STX/USDT,1.518,1.5392,1.4424,1.4545,370974.76977644,557729.59338768744
1644624000,2022-02-12 00:00:00,STX/USDT,1.5112,1.5181,1.43,1.5169,412875.4176418,610202.010879943834
1644537600,2022-02-11 00:00:00,STX/USDT,1.6141,1.6374,1.486,1.51,512583.79848925,805091.161860745736
1644451200,2022-02-10 00:00:00,STX/USDT,1.7207,1.7782,1.6142,1.6197,596724.92935708,1017077.794116099132
1644364800,2022-02-09 00:00:00,STX/USDT,1.687,1.7441,1.6171,1.7212,313005.86604505,526434.325461170956
1644278400,2022-02-08 00:00:00,STX/USDT,1.7184,1.7803,1.5906,1.6886,674661.51344076,1119807.016713918562
1644192000,2022-02-07 00:00:00,STX/USDT,1.6767,1.7608,1.6422,1.718,352518.25029897,603580.647871665604
1644105600,2022-02-06 00:00:00,STX/USDT,1.5841,1.6946,1.5841,1.6775,430307.57637887,707263.004680920228
1644019200,2022-02-05 00:00:00,STX/USDT,1.5412,1.6339,1.5271,1.58,540427.13789955,857116.059106281518
1643932800,2022-02-04 00:00:00,STX/USDT,1.4233,1.5514,1.4142,1.5422,508948.9643272,756554.908832163016
1643846400,2022-02-03 00:00:00,STX/USDT,1.4081,1.4295,1.35,1.4225,535870.78768124,742331.829762770839
1643760000,2022-02-02 00:00:00,STX/USDT,1.4887,1.5224,1.4031,1.4069,438715.44782518,637464.218251363081
1643673600,2022-02-01 00:00:00,STX/USDT,1.4939,1.5322,1.4606,1.4896,482599.88226605,721894.339745225416
1643587200,2022-01-31 00:00:00,STX/USDT,1.49,1.519,1.414,1.494,471732.28267035,694267.605504941283
1643500800,2022-01-30 00:00:00,STX/USDT,1.5135,1.5622,1.4535,1.4914,470112.34584935,707851.768347168118
1643414400,2022-01-29 00:00:00,STX/USDT,1.459,1.5664,1.4571,1.5135,715845.90667861,1082632.782249187903
1643328000,2022-01-28 00:00:00,STX/USDT,1.3932,1.4865,1.374,1.4608,892741.31211248,1270193.774073274538
1643241600,2022-01-27 00:00:00,STX/USDT,1.3753,1.4533,1.3024,1.3935,850841.32022432,1171489.667675459904
1643155200,2022-01-26 00:00:00,STX/USDT,1.3553,1.5315,1.323,1.3743,1163154.02307147,1648468.093880455877
1643068800,2022-01-25 00:00:00,STX/USDT,1.3615,1.4399,1.2514,1.3574,589477.01872666,790640.651505424597
1642982400,2022-01-24 00:00:00,STX/USDT,1.4757,1.4915,1.1877,1.3651,1293494.07627473,1656191.54464801694
1642896000,2022-01-23 00:00:00,STX/USDT,1.4246,1.4956,1.3714,1.474,690474.51834231,986416.29251773318
1642809600,2022-01-22 00:00:00,STX/USDT,1.6669,1.6951,1.2285,1.4267,1477490.45731839,2134512.841063695858
1642723200,2022-01-21 00:00:00,STX/USDT,1.9791,2,1.6,1.6741,1850709.83080556,3325930.962986598927
1642636800,2022-01-20 00:00:00,STX/USDT,2.0607,2.219,1.97,1.9756,1882369.74451091,3908066.03961467707
1642550400,2022-01-19 00:00:00,STX/USDT,2.367,2.659,2.047,2.0586,3132252.86405564,7221361.682092309516
1642464000,2022-01-18 00:00:00,STX/USDT,2.0853,2.7052,1.9624,2.3648,4122204.20775775,9604087.916026380398
1642377600,2022-01-17 00:00:00,STX/USDT,2.1309,2.1665,2.0249,2.082,809394.42695862,1695200.927642112293
1642291200,2022-01-16 00:00:00,STX/USDT,2.1382,2.1536,2.1,2.1308,354655.69660844,753093.684031632449
1642204800,2022-01-15 00:00:00,STX/USDT,2.0892,2.2769,2.0846,2.1356,955641.24712949,2043106.563268143484
1642118400,2022-01-14 00:00:00,STX/USDT,2.0459,2.1255,1.9891,2.0891,764187.7899759,1575399.165801914489
1642032000,2022-01-13 00:00:00,STX/USDT,2.1711,2.1922,2.0423,2.0459,1002788.17203125,2114714.626091838016
1641945600,2022-01-12 00:00:00,STX/USDT,2.0975,2.181,2.0523,2.164,565663.9947881,1194683.179225105131
1641859200,2022-01-11 00:00:00,STX/USDT,1.9811,2.1025,1.8847,2.0973,886561.99806658,1751932.809272199917
1641772800,2022-01-10 00:00:00,STX/USDT,2.0621,2.077,1.8471,1.9801,1256029.24953912,2457629.584462844525
1641686400,2022-01-09 00:00:00,STX/USDT,2.0488,2.0974,2.0018,2.0621,787927.02979222,1612405.332190176577
1641600000,2022-01-08 00:00:00,STX/USDT,2.0935,2.1429,1.9566,2.0465,1080108.66857648,2196446.206171847687
1641513600,2022-01-07 00:00:00,STX/USDT,2.1868,2.1886,1.999,2.0934,1706186.10229349,3546765.397277962312
1641427200,2022-01-06 00:00:00,STX/USDT,2.2424,2.256,2.0672,2.19,1817121.76497909,3899023.426416333779
1641340800,2022-01-05 00:00:00,STX/USDT,2.3412,2.4674,2.0949,2.2402,2066143.10733796,4849507.568760619048
1641254400,2022-01-04 00:00:00,STX/USDT,2.2901,2.4017,2.2537,2.3419,862263.4992886,2005843.744411140017
1641168000,2022-01-03 00:00:00,STX/USDT,2.3964,2.3964,2.2331,2.2932,662944.04883842,1526622.358200323714
1641081600,2022-01-02 00:00:00,STX/USDT,2.2824,2.4107,2.2797,2.3964,727239.03292381,1712918.022938240003
1640995200,2022-01-01 00:00:00,STX/USDT,2.1668,2.2867,2.1668,2.2821,372859.20099202,834892.339669225186
1640908800,2021-12-31 00:00:00,STX/USDT,2.1996,2.2787,2.1057,2.1628,834276.02534377,1825073.131622837583
1640822400,2021-12-30 00:00:00,STX/USDT,2.1343,2.2578,2.0774,2.1968,833213.40358117,1825807.932117983215
1640736000,2021-12-29 00:00:00,STX/USDT,2.2908,2.3032,2.0985,2.1326,862101.65969021,1897483.85524981928
1640649600,2021-12-28 00:00:00,STX/USDT,2.6108,2.6765,2.2517,2.2869,1805064.50548731,4352510.817200794075
