https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QNT,Volume USD
1652500800000,2022-05-14 04:00:00,QNT/USD,68.77,74.3,61.9,69.48,487.502035,33871.6413918
1652414400000,2022-05-13 04:00:00,QNT/USD,79.44,85.28,65.21,68.77,1135.677322,78100.52943394
1652328000000,2022-05-12 04:00:00,QNT/USD,56.29,79.61,47.08,79.44,2278.526091,181006.11266904
1652241600000,2022-05-11 04:00:00,QNT/USD,73.75,73.75,53.17,56.29,1456.326639,81976.62650931
1652155200000,2022-05-10 04:00:00,QNT/USD,81.03,83.17,69.99,73.75,1460.773096,107732.01582999999
1652068800000,2022-05-09 04:00:00,QNT/USD,83.84,85.27,69.68,81.03,2951.08141,239126.12665229998
1651982400000,2022-05-08 04:00:00,QNT/USD,83.19,86.92,81.28,83.84,733.110834,61464.01232256
1651896000000,2022-05-07 04:00:00,QNT/USD,89.67,93.42,81.39,83.19,434.060655,36109.505889449996
1651809600000,2022-05-06 04:00:00,QNT/USD,91.74,92.68,87.8,89.67,311.727084,27952.56762228
1651723200000,2022-05-05 04:00:00,QNT/USD,100.49,102.25,90.5,91.74,622.160667,57077.01959058
1651636800000,2022-05-04 04:00:00,QNT/USD,92.54,104.02,91.83,100.49,651.670415,65486.360003350004
1651550400000,2022-05-03 04:00:00,QNT/USD,96.05,96.41,91.41,92.54,504.767678,46711.20092212
1651464000000,2022-05-02 04:00:00,QNT/USD,99.29,99.29,93.41,96.05,1130.363408,108571.40533839999
1651377600000,2022-05-01 04:00:00,QNT/USD,95.45,99.58,92.16,99.29,1058.144636,105063.18090844
1651291200000,2022-04-30 04:00:00,QNT/USD,95.89,106.76,92.58,95.45,807.048561,77032.78514744999
1651204800000,2022-04-29 04:00:00,QNT/USD,98.77,99.81,92.83,95.89,652.29495,62548.562755499996
1651118400000,2022-04-28 04:00:00,QNT/USD,100.22,102.53,98.39,98.77,383.641701,37892.29080777
1651032000000,2022-04-27 04:00:00,QNT/USD,101.53,102.16,99.25,100.22,268.82581,26941.7226782
1650945600000,2022-04-26 04:00:00,QNT/USD,106.36,107.5,98.89,101.53,1156.466936,117416.08801208
1650859200000,2022-04-25 04:00:00,QNT/USD,106.99,109.27,102.19,106.36,605.928674,64446.57376664
1650772800000,2022-04-24 04:00:00,QNT/USD,107.35,115.14,104.17,106.99,1301.096291,139204.29217409
1650686400000,2022-04-23 04:00:00,QNT/USD,106.82,110.13,105.55,107.35,565.253328,60679.9447608
1650600000000,2022-04-22 04:00:00,QNT/USD,108.71,110.58,106.61,106.82,448.9199,47953.623717999995
1650513600000,2022-04-21 04:00:00,QNT/USD,114.54,114.64,107.22,108.71,395.485852,42993.26697092
1650427200000,2022-04-20 04:00:00,QNT/USD,115.77,116.41,111.03,114.54,123.091507,14098.90121178
1650340800000,2022-04-19 04:00:00,QNT/USD,111.09,116.83,110.72,115.77,522.312957,60468.17103188999
1650254400000,2022-04-18 04:00:00,QNT/USD,109.92,114.54,105.2,111.09,1157.439202,128579.92095018
1650168000000,2022-04-17 04:00:00,QNT/USD,113.44,116.0,109.24,109.92,290.532637,31935.347459040004
1650081600000,2022-04-16 04:00:00,QNT/USD,112.02,114.57,110.56,113.44,670.397782,76049.92439007999
1649995200000,2022-04-15 04:00:00,QNT/USD,113.1,113.92,110.72,112.02,411.534915,46100.1411783
1649908800000,2022-04-14 04:00:00,QNT/USD,115.21,115.79,110.56,113.1,878.162615,99320.19175649999
1649822400000,2022-04-13 04:00:00,QNT/USD,116.18,116.4,113.84,115.21,162.098623,18675.38235583
1649736000000,2022-04-12 04:00:00,QNT/USD,116.86,119.33,112.4,116.18,308.143982,35800.16782876
1649649600000,2022-04-11 04:00:00,QNT/USD,118.06,120.98,113.27,116.86,992.583715,115993.3329349
1649563200000,2022-04-10 04:00:00,QNT/USD,123.01,128.77,117.26,118.06,418.849795,49449.406797699994
1649476800000,2022-04-09 04:00:00,QNT/USD,123.11,123.98,118.88,123.01,243.317413,29930.47497313
1649390400000,2022-04-08 04:00:00,QNT/USD,128.94,129.65,121.08,123.11,652.388981,80315.60745091
1649304000000,2022-04-07 04:00:00,QNT/USD,124.55,130.7,124.09,128.94,305.353813,39372.32064822
1649217600000,2022-04-06 04:00:00,QNT/USD,138.48,138.48,120.45,124.55,768.308287,95692.79714585
1649131200000,2022-04-05 04:00:00,QNT/USD,139.03,143.97,131.53,138.48,400.929756,55520.752610879994
1649044800000,2022-04-04 04:00:00,QNT/USD,136.61,139.62,131.6,139.03,261.526726,36360.06071578
1648958400000,2022-04-03 04:00:00,QNT/USD,139.94,142.06,136.17,136.61,306.233284,41834.528927240004
1648872000000,2022-04-02 04:00:00,QNT/USD,143.22,145.66,138.37,139.94,317.395063,44416.26511622
1648785600000,2022-04-01 04:00:00,QNT/USD,134.01,144.14,134.01,143.22,576.997237,82637.54428314
1648699200000,2022-03-31 04:00:00,QNT/USD,146.12,147.51,131.97,134.01,1574.625827,211015.60707626998
1648612800000,2022-03-30 04:00:00,QNT/USD,142.75,147.42,141.06,146.12,649.66468,94929.0030416
1648526400000,2022-03-29 04:00:00,QNT/USD,144.64,148.89,140.26,142.75,477.928935,68224.35547125
1648440000000,2022-03-28 04:00:00,QNT/USD,152.15,154.53,140.97,144.64,808.83701,116990.18512639999
1648353600000,2022-03-27 04:00:00,QNT/USD,142.39,152.25,141.39,152.15,364.538395,55464.51679925
1648267200000,2022-03-26 04:00:00,QNT/USD,143.11,145.49,139.34,142.39,591.800932,84266.53470748
1648180800000,2022-03-25 04:00:00,QNT/USD,140.0,147.48,134.16,143.11,1461.153751,209105.71330561003
1648094400000,2022-03-24 04:00:00,QNT/USD,124.5,144.96,123.99,140.0,2223.99951,311359.9314
1648008000000,2022-03-23 04:00:00,QNT/USD,129.2,129.2,123.79,124.5,129.461201,16117.9195245
1647921600000,2022-03-22 04:00:00,QNT/USD,120.97,129.65,120.96,129.2,762.121785,98466.134622
1647835200000,2022-03-21 04:00:00,QNT/USD,117.36,122.19,117.36,120.97,211.964484,25641.34362948
1647748800000,2022-03-20 04:00:00,QNT/USD,120.89,126.1,115.33,117.36,1373.093804,161146.28883744002
1647662400000,2022-03-19 04:00:00,QNT/USD,115.5,124.72,115.17,120.89,548.590416,66319.09539024
1647576000000,2022-03-18 04:00:00,QNT/USD,112.56,117.43,109.0,115.5,2657.249601,306912.3289155
1647489600000,2022-03-17 04:00:00,QNT/USD,114.83,116.41,111.76,112.56,1010.491866,113740.96443696
1647403200000,2022-03-16 04:00:00,QNT/USD,110.01,117.13,109.47,114.83,286.575299,32907.441584169996
1647316800000,2022-03-15 04:00:00,QNT/USD,111.66,113.55,108.48,110.01,286.045825,31467.901208249998
1647230400000,2022-03-14 04:00:00,QNT/USD,112.06,114.08,108.92,111.66,519.592342,58017.68090772
1647144000000,2022-03-13 04:00:00,QNT/USD,117.67,117.67,111.22,112.06,712.798542,79876.20461652
1647057600000,2022-03-12 04:00:00,QNT/USD,114.41,117.68,113.7,117.67,370.144112,43554.857659040004
1646971200000,2022-03-11 04:00:00,QNT/USD,114.49,118.21,112.22,114.41,603.868404,69088.58410164001
1646884800000,2022-03-10 04:00:00,QNT/USD,115.34,117.71,112.07,114.49,528.41138,60497.8188962
1646798400000,2022-03-09 04:00:00,QNT/USD,118.53,120.91,114.5,115.34,324.528783,37431.14983122
1646712000000,2022-03-08 04:00:00,QNT/USD,111.78,119.89,111.01,118.53,181.735829,21541.14781137
1646625600000,2022-03-07 04:00:00,QNT/USD,108.82,116.99,107.41,111.78,706.710284,78996.07554552
1646539200000,2022-03-06 04:00:00,QNT/USD,124.07,124.07,106.93,108.82,1136.898436,123717.28780551998
1646452800000,2022-03-05 04:00:00,QNT/USD,117.94,127.36,116.15,124.07,594.400316,73747.24720612
1646366400000,2022-03-04 04:00:00,QNT/USD,125.0,127.92,115.33,117.94,624.410643,73642.99123542
1646280000000,2022-03-03 04:00:00,QNT/USD,117.92,132.4,117.92,125.0,1409.733977,176216.74712500002
1646193600000,2022-03-02 04:00:00,QNT/USD,118.42,119.06,117.33,117.92,231.897714,27345.37843488
1646107200000,2022-03-01 04:00:00,QNT/USD,115.31,120.09,113.84,118.42,867.462957,102724.96336794
1646020800000,2022-02-28 04:00:00,QNT/USD,106.14,123.55,102.63,115.31,1133.904902,130750.57424962
1645934400000,2022-02-27 04:00:00,QNT/USD,107.37,112.57,102.63,106.14,544.359803,57778.349490420005
1645848000000,2022-02-26 04:00:00,QNT/USD,112.22,114.48,104.05,107.37,557.32394,59839.8714378
1645761600000,2022-02-25 04:00:00,QNT/USD,109.55,115.68,104.47,112.22,1103.727129,123860.25841638
1645675200000,2022-02-24 04:00:00,QNT/USD,100.53,111.14,100.53,109.55,166.720184,18264.1961572
1645588800000,2022-02-23 04:00:00,QNT/USD,114.63,119.95,100.45,100.53,873.854869,87848.62998057
1645502400000,2022-02-22 04:00:00,QNT/USD,104.77,120.02,100.39,114.63,1081.231217,123941.53440471
1645416000000,2022-02-21 04:00:00,QNT/USD,119.95,128.98,103.42,104.77,1568.359102,164316.98311653998
1645329600000,2022-02-20 04:00:00,QNT/USD,108.74,122.99,102.43,119.95,853.194832,102340.72009840001
1645243200000,2022-02-19 04:00:00,QNT/USD,114.47,114.49,107.67,108.74,376.818537,40975.24771338
1645156800000,2022-02-18 04:00:00,QNT/USD,120.63,121.12,111.52,114.47,1491.760074,170761.77567078
1645070400000,2022-02-17 04:00:00,QNT/USD,129.65,131.5,116.42,120.63,1314.450208,158562.12859104
1644984000000,2022-02-16 04:00:00,QNT/USD,127.99,132.52,126.48,129.65,407.265895,52802.02328675
1644897600000,2022-02-15 04:00:00,QNT/USD,129.26,133.41,127.0,127.99,435.956023,55798.01138377
1644811200000,2022-02-14 04:00:00,QNT/USD,120.42,129.26,115.93,129.26,832.796464,107647.27093664
1644724800000,2022-02-13 04:00:00,QNT/USD,132.51,132.89,118.53,120.42,412.433612,49665.25555704
1644638400000,2022-02-12 04:00:00,QNT/USD,130.84,137.77,125.5,132.51,458.51068,60757.250206799996
1644552000000,2022-02-11 04:00:00,QNT/USD,144.25,144.88,125.43,130.84,799.144972,104560.12813648001
1644465600000,2022-02-10 04:00:00,QNT/USD,150.84,151.55,137.65,144.25,711.903558,102692.0882415
1644379200000,2022-02-09 04:00:00,QNT/USD,144.88,151.82,144.88,150.84,20.428781,3081.47732604
1644292800000,2022-02-08 04:00:00,QNT/USD,153.13,153.13,132.91,144.88,1357.698828,196703.40620064
1644206400000,2022-02-07 04:00:00,QNT/USD,137.36,160.78,136.93,153.13,3073.428555,470634.11462715
1644120000000,2022-02-06 04:00:00,QNT/USD,133.04,137.71,130.43,137.36,545.200212,74888.70112032001
