https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume USD
1650945600000,2022-04-26 04:00:00,GALA/USD,0.18168,0.18347,0.1619,0.16681,1980621.611307,330387.4909821207
1650859200000,2022-04-25 04:00:00,GALA/USD,0.1808,0.18498,0.1705,0.18168,2217593.697023,402892.4228751387
1650772800000,2022-04-24 04:00:00,GALA/USD,0.18898,0.18954,0.175,0.1808,686613.776842,124139.77085303358
1650686400000,2022-04-23 04:00:00,GALA/USD,0.189,0.19123,0.1855,0.18898,319241.119616,60330.18678503168
1650600000000,2022-04-22 04:00:00,GALA/USD,0.19066,0.1943,0.18662,0.189,467786.197649,88411.591355661
1650513600000,2022-04-21 04:00:00,GALA/USD,0.19861,0.20219,0.1857,0.19066,1201595.312593,229096.1622989814
1650427200000,2022-04-20 04:00:00,GALA/USD,0.2012,0.2012,0.19705,0.19861,73048.865215,14508.23512035115
1650340800000,2022-04-19 04:00:00,GALA/USD,0.19355,0.20957,0.19199,0.2012,599448.829348,120609.10446481759
1650254400000,2022-04-18 04:00:00,GALA/USD,0.19453,0.19863,0.18132,0.19355,501873.306739,97137.57851933346
1650168000000,2022-04-17 04:00:00,GALA/USD,0.20115,0.20364,0.19052,0.19453,744220.577644,144773.22896908733
1650081600000,2022-04-16 04:00:00,GALA/USD,0.20079,0.20504,0.19926,0.20115,723585.794281,145549.28251962314
1649995200000,2022-04-15 04:00:00,GALA/USD,0.20134,0.20324,0.19767,0.20079,401368.441309,80590.76933043411
1649908800000,2022-04-14 04:00:00,GALA/USD,0.20752,0.20876,0.19562,0.20134,441619.462401,88915.66255981734
1649822400000,2022-04-13 04:00:00,GALA/USD,0.20124,0.21035,0.20124,0.20752,327355.469045,67932.8069362184
1649736000000,2022-04-12 04:00:00,GALA/USD,0.19411,0.20729,0.19392,0.20124,1991231.241694,400715.3750785006
1649649600000,2022-04-11 04:00:00,GALA/USD,0.21422,0.21614,0.19,0.19411,2468493.601813,479159.2930479215
1649563200000,2022-04-10 04:00:00,GALA/USD,0.22423,0.22686,0.2113,0.21422,2505462.847248,536720.2511374665
1649476800000,2022-04-09 04:00:00,GALA/USD,0.21518,0.2268,0.21499,0.22423,478483.321484,107290.31517635733
1649390400000,2022-04-08 04:00:00,GALA/USD,0.23016,0.2311,0.21103,0.21518,993303.336422,213739.01193128596
1649304000000,2022-04-07 04:00:00,GALA/USD,0.22223,0.23149,0.21978,0.23016,663994.950052,152825.07770396833
1649217600000,2022-04-06 04:00:00,GALA/USD,0.23949,0.23949,0.21654,0.22223,880700.903437,195718.16177080452
1649131200000,2022-04-05 04:00:00,GALA/USD,0.25954,0.26301,0.228,0.23949,1684992.975089,403538.9676040646
1649044800000,2022-04-04 04:00:00,GALA/USD,0.26118,0.26539,0.24478,0.25954,1325712.319763,344075.375471289
1648958400000,2022-04-03 04:00:00,GALA/USD,0.25677,0.26895,0.25626,0.26118,1345077.59321,351307.3657945879
1648872000000,2022-04-02 04:00:00,GALA/USD,0.26694,0.27789,0.25023,0.25677,1497452.471703,384500.8711591793
1648785600000,2022-04-01 04:00:00,GALA/USD,0.24889,0.27118,0.24478,0.26694,1225456.98145,327123.486628263
1648699200000,2022-03-31 04:00:00,GALA/USD,0.27778,0.28136,0.24137,0.24889,2439872.484238,607259.8626019958
1648612800000,2022-03-30 04:00:00,GALA/USD,0.26658,0.28785,0.26658,0.27778,943710.810891,262143.989049302
1648526400000,2022-03-29 04:00:00,GALA/USD,0.26846,0.28245,0.25628,0.26658,1580922.875431,421442.420132396
1648440000000,2022-03-28 04:00:00,GALA/USD,0.2698,0.29159,0.26,0.26846,1827958.687426,490733.7892263839
1648353600000,2022-03-27 04:00:00,GALA/USD,0.25233,0.26984,0.24584,0.2698,2495126.005715,673184.996341907
1648267200000,2022-03-26 04:00:00,GALA/USD,0.24604,0.25476,0.2455,0.25233,884928.651358,223294.04659716415
1648180800000,2022-03-25 04:00:00,GALA/USD,0.24999,0.26631,0.24252,0.24604,1264343.531096,311079.08239085984
1648094400000,2022-03-24 04:00:00,GALA/USD,0.25062,0.25729,0.24559,0.24999,1323266.755583,330803.4562281941
1648008000000,2022-03-23 04:00:00,GALA/USD,0.23915,0.26162,0.23915,0.25062,785426.641471,196843.62488546205
1647921600000,2022-03-22 04:00:00,GALA/USD,0.24267,0.25499,0.23599,0.23915,997454.901364,238541.33966120062
1647835200000,2022-03-21 04:00:00,GALA/USD,0.22956,0.24511,0.22956,0.24267,560055.222817,135908.6009210014
1647748800000,2022-03-20 04:00:00,GALA/USD,0.24834,0.24852,0.22454,0.22956,872722.058122,200342.07566248628
1647662400000,2022-03-19 04:00:00,GALA/USD,0.22915,0.25729,0.22891,0.24834,2139046.895277,531210.9059730902
1647576000000,2022-03-18 04:00:00,GALA/USD,0.22035,0.23423,0.21806,0.22915,911860.706426,208952.8808775179
1647489600000,2022-03-17 04:00:00,GALA/USD,0.23135,0.23189,0.21888,0.22035,836565.163041,184337.13367608434
1647403200000,2022-03-16 04:00:00,GALA/USD,0.21542,0.24234,0.21542,0.23135,1038152.82641,240176.65638995348
1647316800000,2022-03-15 04:00:00,GALA/USD,0.21616,0.22462,0.21274,0.21542,479952.861314,103391.44538426188
1647230400000,2022-03-14 04:00:00,GALA/USD,0.21672,0.22465,0.21399,0.21616,846722.357546,183027.50480714336
1647144000000,2022-03-13 04:00:00,GALA/USD,0.23995,0.24219,0.21164,0.21672,1107352.957768,239985.53300748096
1647057600000,2022-03-12 04:00:00,GALA/USD,0.21441,0.24189,0.21228,0.23995,1048739.27419,251644.9888418905
1646971200000,2022-03-11 04:00:00,GALA/USD,0.21448,0.22246,0.21097,0.21441,597022.543433,128007.60353746952
1646884800000,2022-03-10 04:00:00,GALA/USD,0.22586,0.22586,0.21055,0.21448,1172148.345037,251402.37704353576
1646798400000,2022-03-09 04:00:00,GALA/USD,0.23242,0.23406,0.22343,0.22586,372590.647661,84153.32368071347
1646712000000,2022-03-08 04:00:00,GALA/USD,0.21949,0.23495,0.21806,0.23242,405311.516806,94202.50273605052
1646625600000,2022-03-07 04:00:00,GALA/USD,0.21327,0.23455,0.21,0.21949,1208617.178799,265279.3845745925
1646539200000,2022-03-06 04:00:00,GALA/USD,0.22957,0.23276,0.21094,0.21327,774887.253025,165260.20445264174
1646452800000,2022-03-05 04:00:00,GALA/USD,0.22097,0.23698,0.21914,0.22957,461212.408763,105880.5326797219
1646366400000,2022-03-04 04:00:00,GALA/USD,0.23646,0.24311,0.21327,0.22097,981841.632872,216957.54561572583
1646280000000,2022-03-03 04:00:00,GALA/USD,0.24947,0.26001,0.2316,0.23646,799684.887923,189093.48859827258
1646193600000,2022-03-02 04:00:00,GALA/USD,0.26155,0.26155,0.24853,0.24947,569289.808481,142020.72852175508
1646107200000,2022-03-01 04:00:00,GALA/USD,0.268,0.27245,0.24851,0.26155,1776639.040595,464679.9410676222
1646020800000,2022-02-28 04:00:00,GALA/USD,0.225,0.27662,0.22387,0.268,2125295.708728,569579.2499391041
1645934400000,2022-02-27 04:00:00,GALA/USD,0.23909,0.2544,0.22416,0.225,2134722.488878,480312.55999755004
1645848000000,2022-02-26 04:00:00,GALA/USD,0.25674,0.25822,0.23686,0.23909,1830619.95652,437682.9254043668
1645761600000,2022-02-25 04:00:00,GALA/USD,0.23718,0.26864,0.22633,0.25674,5541222.930261,1422653.5751152092
1645675200000,2022-02-24 04:00:00,GALA/USD,0.20446,0.23874,0.20446,0.23718,896030.584188,212520.53395770982
1645588800000,2022-02-23 04:00:00,GALA/USD,0.23729,0.25101,0.20208,0.20446,3194521.122006,653151.7886053468
1645502400000,2022-02-22 04:00:00,GALA/USD,0.21741,0.25224,0.21545,0.23729,2183704.274321,518171.18725363014
1645416000000,2022-02-21 04:00:00,GALA/USD,0.26133,0.27521,0.2151,0.21741,2201139.111222,478549.654170775
1645329600000,2022-02-20 04:00:00,GALA/USD,0.26904,0.27024,0.246,0.26133,2927027.717041,764920.1532943245
