https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTM,Volume USD
1648180800000,2022-03-25 04:00:00,FTM/USD,1.3228,1.4702,1.3018,1.3559,2643367.762973,3584142.3498150907
1648094400000,2022-03-24 04:00:00,FTM/USD,1.2973,1.3477,1.2973,1.3228,1932932.391623,2556882.967638904
1648008000000,2022-03-23 04:00:00,FTM/USD,1.2715,1.3199,1.2693,1.2973,335243.119666,434910.89914270176
1647921600000,2022-03-22 04:00:00,FTM/USD,1.293,1.3303,1.2552,1.2715,1477524.818489,1878672.8067087636
1647835200000,2022-03-21 04:00:00,FTM/USD,1.2187,1.3095,1.2187,1.293,564945.056691,730473.9583014629
1647748800000,2022-03-20 04:00:00,FTM/USD,1.2992,1.3044,1.2015,1.2187,590745.101772,719941.0555295363
1647662400000,2022-03-19 04:00:00,FTM/USD,1.277,1.3462,1.2726,1.2992,1396404.041064,1814208.1301503486
1647576000000,2022-03-18 04:00:00,FTM/USD,1.1806,1.2937,1.1784,1.277,2252666.633174,2876655.290563198
1647489600000,2022-03-17 04:00:00,FTM/USD,1.2512,1.2648,1.1711,1.1806,1959180.604426,2313008.621585336
1647403200000,2022-03-16 04:00:00,FTM/USD,1.1676,1.2821,1.1473,1.2512,800350.799998,1001398.9209574977
1647316800000,2022-03-15 04:00:00,FTM/USD,1.0631,1.2639,1.0369,1.1676,3932758.446359,4591888.761968768
1647230400000,2022-03-14 04:00:00,FTM/USD,1.0955,1.1245,1.036,1.0631,1221800.808901,1298896.439942653
1647144000000,2022-03-13 04:00:00,FTM/USD,1.2001,1.203,1.074,1.0955,1044705.869539,1144475.2800799743
1647057600000,2022-03-12 04:00:00,FTM/USD,1.2293,1.2439,1.179,1.2001,1337994.904425,1605727.6848004425
1646971200000,2022-03-11 04:00:00,FTM/USD,1.1757,1.2741,1.1472,1.2293,1896483.748917,2331347.472543668
1646884800000,2022-03-10 04:00:00,FTM/USD,1.3179,1.3216,1.1351,1.1757,2856628.120615,3358537.6814070554
1646798400000,2022-03-09 04:00:00,FTM/USD,1.4136,1.4136,1.3177,1.3179,503410.562992,663444.7809671569
1646712000000,2022-03-08 04:00:00,FTM/USD,1.3399,1.43,1.3203,1.4136,623565.006173,881471.4927261528
1646625600000,2022-03-07 04:00:00,FTM/USD,1.3385,1.4702,1.2865,1.3399,2202793.873448,2951523.5110329753
1646539200000,2022-03-06 04:00:00,FTM/USD,1.66,1.6737,1.3063,1.3385,6268945.575283,8390983.652516296
1646452800000,2022-03-05 04:00:00,FTM/USD,1.6418,1.7111,1.6238,1.66,916098.878517,1520724.1383382198
1646366400000,2022-03-04 04:00:00,FTM/USD,1.8073,1.8405,1.608,1.6418,2096901.560132,3442692.981424717
1646280000000,2022-03-03 04:00:00,FTM/USD,1.9176,1.9729,1.7736,1.8073,2490440.08529,4500972.366144616
1646193600000,2022-03-02 04:00:00,FTM/USD,1.8691,2.0348,1.8691,1.9176,924564.039225,1772944.0016178598
1646107200000,2022-03-01 04:00:00,FTM/USD,1.8644,1.9499,1.7744,1.8691,2054142.566477,3839397.8710021605
1646020800000,2022-02-28 04:00:00,FTM/USD,1.5759,1.8901,1.5435,1.8644,2468132.160197,4601585.599471287
1645934400000,2022-02-27 04:00:00,FTM/USD,1.7127,1.7621,1.5576,1.5759,1543765.984068,2432820.8142927615
1645848000000,2022-02-26 04:00:00,FTM/USD,1.7338,1.8274,1.6585,1.7127,1577866.865272,2702412.580151354
1645761600000,2022-02-25 04:00:00,FTM/USD,1.499,1.7798,1.4613,1.7338,1845187.392475,3199185.901073155
1645675200000,2022-02-24 04:00:00,FTM/USD,1.3812,1.5153,1.3812,1.499,196987.541936,295284.325362064
1645588800000,2022-02-23 04:00:00,FTM/USD,1.6032,1.7316,1.3782,1.3812,1275871.34605,1762233.50316426
