https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AMP,Volume USD
1650600000000,2022-04-22 04:00:00,AMP/USD,0.02277,0.02437,0.02215,0.02227,225943817.439181,5031768.814370561
1650513600000,2022-04-21 04:00:00,AMP/USD,0.02282,0.02497,0.02184,0.02277,88623898.191604,2017966.161822823
1650427200000,2022-04-20 04:00:00,AMP/USD,0.02225,0.02318,0.022,0.02282,11216057.814724,255950.4393320017
1650340800000,2022-04-19 04:00:00,AMP/USD,0.02189,0.02233,0.02166,0.02225,10795301.520153,240195.45882340422
1650254400000,2022-04-18 04:00:00,AMP/USD,0.02187,0.022,0.02094,0.02189,28288179.371034,619228.2464319343
1650168000000,2022-04-17 04:00:00,AMP/USD,0.02268,0.02283,0.02168,0.02187,12216057.088501,267165.16852551687
1650081600000,2022-04-16 04:00:00,AMP/USD,0.02268,0.02376,0.02241,0.02268,21769284.711247,493727.3772510819
1649995200000,2022-04-15 04:00:00,AMP/USD,0.02275,0.02293,0.02231,0.02268,12752506.751881,289226.8531326611
1649908800000,2022-04-14 04:00:00,AMP/USD,0.02374,0.02376,0.02234,0.02275,16257160.36946,369850.398405215
1649822400000,2022-04-13 04:00:00,AMP/USD,0.02366,0.02381,0.02303,0.02374,8481282.262122,201345.64090277627
1649736000000,2022-04-12 04:00:00,AMP/USD,0.02327,0.02402,0.02258,0.02366,25474143.194485,602718.2279815151
1649649600000,2022-04-11 04:00:00,AMP/USD,0.02443,0.02443,0.02248,0.02327,40102997.56961,933196.7534448246
1649563200000,2022-04-10 04:00:00,AMP/USD,0.02496,0.02525,0.02435,0.02443,16865233.031574,412017.64296135283
1649476800000,2022-04-09 04:00:00,AMP/USD,0.02429,0.02523,0.02422,0.02496,9704968.31599,242236.00916711037
1649390400000,2022-04-08 04:00:00,AMP/USD,0.02529,0.02568,0.02416,0.02429,21773518.574274,528878.7661691154
1649304000000,2022-04-07 04:00:00,AMP/USD,0.02507,0.02577,0.02494,0.02529,16778231.030212,424321.4627540615
1649217600000,2022-04-06 04:00:00,AMP/USD,0.02712,0.02712,0.02493,0.02507,16656163.310425,417570.01419235475
1649131200000,2022-04-05 04:00:00,AMP/USD,0.02865,0.02889,0.0265,0.02712,27600372.769506,748522.1095090027
1649044800000,2022-04-04 04:00:00,AMP/USD,0.02852,0.02996,0.02722,0.02865,54430523.594973,1559434.5009959764
1648958400000,2022-04-03 04:00:00,AMP/USD,0.02794,0.02897,0.0274,0.02852,29408796.611263,838738.8793532208
1648872000000,2022-04-02 04:00:00,AMP/USD,0.02759,0.02876,0.027,0.02794,41029149.336464,1146354.4324608042
1648785600000,2022-04-01 04:00:00,AMP/USD,0.02651,0.02787,0.02651,0.02759,23676328.344403,653229.8990220787
1648699200000,2022-03-31 04:00:00,AMP/USD,0.02792,0.02927,0.02644,0.02651,48083143.667853,1274684.138634783
1648612800000,2022-03-30 04:00:00,AMP/USD,0.02729,0.02833,0.02729,0.02792,17149032.941387,478800.9997235251
1648526400000,2022-03-29 04:00:00,AMP/USD,0.02745,0.02801,0.02672,0.02729,29945539.169582,817213.7639378926
1648440000000,2022-03-28 04:00:00,AMP/USD,0.02764,0.0284,0.02703,0.02745,39975643.139858,1097331.4041891021
1648353600000,2022-03-27 04:00:00,AMP/USD,0.02651,0.028,0.02648,0.02764,35664117.894892,985756.2186148149
1648267200000,2022-03-26 04:00:00,AMP/USD,0.02591,0.02667,0.02587,0.02651,17034030.817457,451572.1569707851
1648180800000,2022-03-25 04:00:00,AMP/USD,0.02692,0.02738,0.02575,0.02591,34303279.601052,888797.9744632574
1648094400000,2022-03-24 04:00:00,AMP/USD,0.02677,0.02741,0.02642,0.02692,33596185.02495,904409.300871654
1648008000000,2022-03-23 04:00:00,AMP/USD,0.02637,0.02704,0.02621,0.02677,9186266.983621,245916.36715153413
1647921600000,2022-03-22 04:00:00,AMP/USD,0.02667,0.02782,0.02627,0.02637,45612098.742022,1202791.0438271202
1647835200000,2022-03-21 04:00:00,AMP/USD,0.02544,0.02792,0.02544,0.02667,28789931.194958,767827.4649695299
1647748800000,2022-03-20 04:00:00,AMP/USD,0.02679,0.02686,0.02521,0.02544,21074601.973093,536137.874195486
1647662400000,2022-03-19 04:00:00,AMP/USD,0.0252,0.02754,0.02518,0.02679,51138678.231998,1370005.1898352264
1647576000000,2022-03-18 04:00:00,AMP/USD,0.02462,0.02601,0.02441,0.0252,22576282.090212,568922.3086733423
1647489600000,2022-03-17 04:00:00,AMP/USD,0.02505,0.02558,0.02454,0.02462,16842119.456798,414652.9810263667
1647403200000,2022-03-16 04:00:00,AMP/USD,0.02457,0.02538,0.02439,0.02505,11675751.530123,292477.5758295811
1647316800000,2022-03-15 04:00:00,AMP/USD,0.02454,0.02536,0.02412,0.02457,34987556.579606,859644.2651609194
1647230400000,2022-03-14 04:00:00,AMP/USD,0.02416,0.02512,0.02409,0.02454,22654789.267584,555948.5286265113
1647144000000,2022-03-13 04:00:00,AMP/USD,0.02504,0.02515,0.02411,0.02416,31455002.019675,759952.8487953481
1647057600000,2022-03-12 04:00:00,AMP/USD,0.02494,0.02584,0.02464,0.02504,20487663.2113,513011.086810952
1646971200000,2022-03-11 04:00:00,AMP/USD,0.02525,0.02559,0.02459,0.02494,22386146.991089,558310.5059577597
1646884800000,2022-03-10 04:00:00,AMP/USD,0.02533,0.02743,0.02461,0.02525,40949245.04675,1033968.4374304377
1646798400000,2022-03-09 04:00:00,AMP/USD,0.02609,0.02622,0.02529,0.02533,13614590.155951,344857.5686502388
1646712000000,2022-03-08 04:00:00,AMP/USD,0.02535,0.02628,0.02486,0.02609,7056605.706358,184106.8428788802
1646625600000,2022-03-07 04:00:00,AMP/USD,0.02575,0.02646,0.02454,0.02535,44305834.819826,1123152.9126825891
1646539200000,2022-03-06 04:00:00,AMP/USD,0.02663,0.02693,0.02545,0.02575,23812164.780159,613163.2430890942
1646452800000,2022-03-05 04:00:00,AMP/USD,0.02737,0.02767,0.02663,0.02663,9378058.608945,249737.7007562054
1646366400000,2022-03-04 04:00:00,AMP/USD,0.02696,0.02756,0.02618,0.02737,28632373.168357,783668.0536179311
1646280000000,2022-03-03 04:00:00,AMP/USD,0.02782,0.02994,0.02645,0.02696,36147909.049025,974547.627961714
1646193600000,2022-03-02 04:00:00,AMP/USD,0.02925,0.02925,0.02768,0.02782,7560238.741471,210325.84178772324
1646107200000,2022-03-01 04:00:00,AMP/USD,0.02917,0.02952,0.02851,0.02925,20072430.573765,587118.5942826263
1646020800000,2022-02-28 04:00:00,AMP/USD,0.02714,0.02951,0.02689,0.02917,27362056.262955,798151.1811903974
1645934400000,2022-02-27 04:00:00,AMP/USD,0.02774,0.02891,0.02659,0.02714,18378916.374505,498803.7904040657
1645848000000,2022-02-26 04:00:00,AMP/USD,0.02896,0.02959,0.02723,0.02774,14289311.77452,396385.5086251848
1645761600000,2022-02-25 04:00:00,AMP/USD,0.02686,0.03016,0.02625,0.02896,51236382.317572,1483805.631916885
1645675200000,2022-02-24 04:00:00,AMP/USD,0.02375,0.0269,0.02375,0.02686,6669919.390305,179154.0348235923
