https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PAXG,Volume USD
1628222400000,2021-08-06 04:00:00,PAXG/USD,1805.57,1808.89,1765.0,1771.12,94.7063957642,167736.39166588988
1628136000000,2021-08-05 04:00:00,PAXG/USD,1817.42,1839.38,1805.57,1805.57,95.1135688053,171734.20642778554
1628049600000,2021-08-04 04:00:00,PAXG/USD,1820.02,1821.72,1817.41,1817.42,18.7540270228,34083.94379177717
1627963200000,2021-08-03 04:00:00,PAXG/USD,1811.66,1824.24,1808.06,1820.02,25.6647364452,46710.333624992905
1627876800000,2021-08-02 04:00:00,PAXG/USD,1818.0,1845.14,1800.6,1811.66,94.5540101635,171299.71805280642
1627790400000,2021-08-01 04:00:00,PAXG/USD,1835.55,1836.36,1815.55,1818.0,42.0909217937,76521.2958209466
1627704000000,2021-07-31 04:00:00,PAXG/USD,1826.36,1835.55,1820.3,1835.55,19.7885694995,36322.908744807224
1627617600000,2021-07-30 04:00:00,PAXG/USD,1835.47,1840.76,1817.99,1826.36,28.3483913603,51774.368044797506
1627531200000,2021-07-29 04:00:00,PAXG/USD,1821.95,1838.51,1818.35,1835.47,9.1919642225,16871.574571472072
1627444800000,2021-07-28 04:00:00,PAXG/USD,1809.05,1824.84,1801.96,1821.95,17.3131142227,31543.628458048268
1627358400000,2021-07-27 04:00:00,PAXG/USD,1805.71,1811.0,1801.2,1809.05,12.841352015,23230.64786273575
1627272000000,2021-07-26 04:00:00,PAXG/USD,1807.52,1815.42,1797.31,1805.71,77.5114209667,139963.14795377987
1627185600000,2021-07-25 04:00:00,PAXG/USD,1809.2,1817.84,1722.93,1807.52,58.6990078163,106099.63060811858
1627099200000,2021-07-24 04:00:00,PAXG/USD,1816.76,1821.6,1804.04,1809.2,30.2224327426,54678.42531791192
1627012800000,2021-07-23 04:00:00,PAXG/USD,1804.9,1822.98,1799.56,1816.76,82.5934778359,150052.52679314968
1626926400000,2021-07-22 04:00:00,PAXG/USD,1805.7,1814.38,1790.47,1804.9,23.2077094486,41887.59478377814
1626840000000,2021-07-21 04:00:00,PAXG/USD,1811.61,1820.04,1805.7,1805.7,12.9168936507,23324.034865068992
1626753600000,2021-07-20 04:00:00,PAXG/USD,1820.0,1837.25,1808.28,1811.61,72.8934124917,132054.43500408865
1626667200000,2021-07-19 04:00:00,PAXG/USD,1815.07,1820.0,1804.18,1820.0,44.9749638287,81854.434168234
1626580800000,2021-07-18 04:00:00,PAXG/USD,1818.13,1820.0,1808.5,1815.07,6.0979584999,11068.221534413493
1626494400000,2021-07-17 04:00:00,PAXG/USD,1817.58,1820.3,1804.0,1818.13,53.9247782492,98042.25707821801
1626408000000,2021-07-16 04:00:00,PAXG/USD,1835.36,1835.55,1812.3,1817.58,15.1899308424,27608.914500529394
1626321600000,2021-07-15 04:00:00,PAXG/USD,1833.81,1837.73,1821.24,1835.36,40.6608755942,74627.34463057091
1626235200000,2021-07-14 04:00:00,PAXG/USD,1818.11,1837.63,1818.11,1833.81,5.4294202414,9956.525132881734
1626148800000,2021-07-13 04:00:00,PAXG/USD,1813.87,1821.6,1807.62,1818.11,14.4314150184,26237.899959103222
1626062400000,2021-07-12 04:00:00,PAXG/USD,1811.96,1818.13,1797.02,1813.87,14.971546338,27156.43875610806
1625976000000,2021-07-11 04:00:00,PAXG/USD,1818.84,1822.97,1811.96,1811.96,10.0301561959,18174.241820722964
1625889600000,2021-07-10 04:00:00,PAXG/USD,1817.24,1825.0,1816.0,1818.84,12.3841400304,22524.769252892733
1625803200000,2021-07-09 04:00:00,PAXG/USD,1812.34,1825.0,1806.0,1817.24,12.5364931994,22781.816901677656
1625716800000,2021-07-08 04:00:00,PAXG/USD,1806.51,1829.18,1806.0,1812.34,994.3786105765,1802152.131092214
1625630400000,2021-07-07 04:00:00,PAXG/USD,1810.62,1821.6,1804.18,1806.51,29.5456204789,53374.45885133764
1625544000000,2021-07-06 04:00:00,PAXG/USD,1799.75,1818.54,1799.75,1810.62,16.9253964657,30645.461348725734
1625457600000,2021-07-05 04:00:00,PAXG/USD,1790.51,1800.0,1787.33,1799.75,14.403185599,25922.133281800252
1625371200000,2021-07-04 04:00:00,PAXG/USD,1786.52,1802.52,1777.1,1790.51,49.8159403532,89195.93936180812
1625284800000,2021-07-03 04:00:00,PAXG/USD,1790.0,1790.61,1783.45,1786.52,23.594425474,42151.91299781048
1625198400000,2021-07-02 04:00:00,PAXG/USD,1787.83,1800.73,1783.65,1790.0,11.8302904181,21176.219848399
1625112000000,2021-07-01 04:00:00,PAXG/USD,1781.8,1790.21,1776.12,1787.83,30.7255653236,54932.08745249179
1625025600000,2021-06-30 04:00:00,PAXG/USD,1770.0,1790.69,1765.42,1781.8,17.6385460104,31428.36128133072
1624939200000,2021-06-29 04:00:00,PAXG/USD,1783.66,1808.08,1761.6,1770.0,139.9713418064,247749.274997328
1624852800000,2021-06-28 04:00:00,PAXG/USD,1782.88,1798.05,1780.26,1783.66,47.7812285624,85225.46613761039
1624766400000,2021-06-27 04:00:00,PAXG/USD,1787.0,1798.23,1779.56,1782.88,24.3707787723,43450.17405755822
1624680000000,2021-06-26 04:00:00,PAXG/USD,1777.89,1790.01,1773.85,1787.0,13.1213269784,23447.8113104008
1624593600000,2021-06-25 04:00:00,PAXG/USD,1783.92,1797.26,1772.04,1777.89,27.422786176,48754.69731444864
1624507200000,2021-06-24 04:00:00,PAXG/USD,1783.92,1783.92,1783.92,1783.92,0.0,0.0
1624420800000,2021-06-23 04:00:00,PAXG/USD,1787.98,1797.16,1780.88,1783.92,6.2382862019,11128.60352129345
1624334400000,2021-06-22 04:00:00,PAXG/USD,1796.03,1796.96,1776.34,1787.98,30.1958440483,53989.56524147943
1624248000000,2021-06-21 04:00:00,PAXG/USD,1788.29,1832.63,1780.88,1796.03,94.2529719249,169281.16516627814
1624161600000,2021-06-20 04:00:00,PAXG/USD,1776.3,1788.89,1770.0,1788.29,44.9969163726,80467.53557995685
1624075200000,2021-06-19 04:00:00,PAXG/USD,1782.19,1784.12,1776.3,1776.3,15.4426537149,27430.78579377687
1623988800000,2021-06-18 04:00:00,PAXG/USD,1792.65,1810.13,1760.76,1782.19,75.7581510661,135015.41924849275
1623902400000,2021-06-17 04:00:00,PAXG/USD,1832.87,1832.87,1778.15,1792.65,353.8497421972,634328.7403498106
1623816000000,2021-06-16 04:00:00,PAXG/USD,1856.0,1856.0,1819.4,1832.87,6.7742384494,12416.298426751779
1623729600000,2021-06-15 04:00:00,PAXG/USD,1867.16,1874.44,1852.72,1856.0,77.7282259098,144263.5872885888
1623643200000,2021-06-14 04:00:00,PAXG/USD,1870.0,1897.23,1838.37,1867.16,79.6398769462,148700.39263886682
1623556800000,2021-06-13 04:00:00,PAXG/USD,1895.0,1897.96,1869.0,1870.0,25.7675038785,48185.232252795
1623470400000,2021-06-12 04:00:00,PAXG/USD,1891.21,1904.04,1887.3,1895.0,18.8200938761,35664.0778952095
1623384000000,2021-06-11 04:00:00,PAXG/USD,1913.13,1918.57,1880.88,1891.21,56.1677035999,106224.92272516688
1623297600000,2021-06-10 04:00:00,PAXG/USD,1894.5,1924.0,1875.0,1913.13,44.8140279561,85735.0613036536
1623211200000,2021-06-09 04:00:00,PAXG/USD,1902.2,1910.0,1891.39,1894.5,236.1247741409,447338.38460993505
1623124800000,2021-06-08 04:00:00,PAXG/USD,1905.74,1918.75,1880.88,1902.2,258.5663604287,491844.9308074732
1623038400000,2021-06-07 04:00:00,PAXG/USD,1891.07,1911.8,1883.84,1905.74,42.4925633474,80979.77767367408
1622952000000,2021-06-06 04:00:00,PAXG/USD,1902.05,1911.75,1880.4,1891.07,63.4345339852,119959.14418339216
1622865600000,2021-06-05 04:00:00,PAXG/USD,1907.37,1909.38,1895.0,1902.05,29.2058181489,55550.926410115244
1622779200000,2021-06-04 04:00:00,PAXG/USD,1871.45,1911.82,1871.45,1907.37,56.2875242941,107361.13521283751
1622692800000,2021-06-03 04:00:00,PAXG/USD,1918.0,1918.0,1860.32,1871.45,77.6627615831,145341.9751646925
1622606400000,2021-06-02 04:00:00,PAXG/USD,1901.0,1920.0,1900.63,1918.0,35.2451178348,67600.1360071464
1622520000000,2021-06-01 04:00:00,PAXG/USD,1920.51,1926.29,1896.43,1901.0,114.8967609611,218418.7425870511
1622433600000,2021-05-31 04:00:00,PAXG/USD,1924.03,1925.78,1905.95,1920.51,69.0956036013,132698.79767233267
1622347200000,2021-05-30 04:00:00,PAXG/USD,1925.54,1932.15,1901.82,1924.03,85.9584261869,165386.59073638121
1622260800000,2021-05-29 04:00:00,PAXG/USD,1920.82,1936.32,1910.58,1925.54,84.694583897,163082.80907702938
1622174400000,2021-05-28 04:00:00,PAXG/USD,1902.56,1984.2,1891.12,1920.82,122.7227302839,235728.2747839208
1622088000000,2021-05-27 04:00:00,PAXG/USD,1900.81,1930.62,1892.53,1902.56,56.4612030919,107420.82655452527
1622001600000,2021-05-26 04:00:00,PAXG/USD,1917.58,1923.07,1900.0,1900.81,62.3725827851,118558.42908374593
1621915200000,2021-05-25 04:00:00,PAXG/USD,1883.5,1920.82,1855.79,1917.58,123.6167905695,237045.08526026178
1621828800000,2021-05-24 04:00:00,PAXG/USD,1894.09,1910.47,1850.0,1883.5,161.1206343127,303470.7147279704
1621742400000,2021-05-23 04:00:00,PAXG/USD,1903.96,1912.5,1880.0,1894.09,106.9349908238,202544.49676945133
1621656000000,2021-05-22 04:00:00,PAXG/USD,1891.14,1936.99,1880.0,1903.96,64.3353588021,122491.94974484632
1621569600000,2021-05-21 04:00:00,PAXG/USD,1875.72,1903.0,1875.72,1891.14,53.9617784169,102049.27763533627
1621483200000,2021-05-20 04:00:00,PAXG/USD,1896.09,1903.0,1852.98,1875.72,178.7895327626,335359.10239346407
1621396800000,2021-05-19 04:00:00,PAXG/USD,1877.86,1911.0,1830.01,1896.09,268.1390042069,508415.684486661
1621310400000,2021-05-18 04:00:00,PAXG/USD,1868.67,1889.56,1848.25,1877.86,156.9716911426,294770.8599290428
1621224000000,2021-05-17 04:00:00,PAXG/USD,1960.45,2248.0,1868.67,1868.67,332.0466542119,620485.6213261512
1621137600000,2021-05-16 04:00:00,PAXG/USD,1895.41,2700.0,1863.01,1960.45,163.6094724367,320748.19023852854
1621051200000,2021-05-15 04:00:00,PAXG/USD,1864.17,1908.0,1857.15,1895.41,69.3041116153,131359.70619675578
1620964800000,2021-05-14 04:00:00,PAXG/USD,1830.0,1888.88,1830.0,1864.17,43.7343706609,81528.30175492995
1620878400000,2021-05-13 04:00:00,PAXG/USD,1823.35,1925.0,1820.03,1830.0,110.6040806161,202405.467527463
1620792000000,2021-05-12 04:00:00,PAXG/USD,1843.3,1924.5,1770.0,1823.35,190.981195242,348225.5623445007
1620705600000,2021-05-11 04:00:00,PAXG/USD,1825.0,1874.4,1825.0,1843.3,117.1943623858,216024.36818574514
1620619200000,2021-05-10 04:00:00,PAXG/USD,1841.85,1902.02,1825.0,1825.0,93.6125118888,170842.83419706
1620532800000,2021-05-09 04:00:00,PAXG/USD,1849.95,1879.24,1827.74,1841.85,49.3227141717,90845.04109714564
1620446400000,2021-05-08 04:00:00,PAXG/USD,1847.96,1924.99,1832.62,1849.95,58.3721962314,107985.64441827843
1620360000000,2021-05-07 04:00:00,PAXG/USD,1834.74,1855.7,1819.26,1847.96,74.6450397143,137941.04759043784
1620273600000,2021-05-06 04:00:00,PAXG/USD,1796.56,1850.0,1796.56,1834.74,61.9770181748,113711.71432603255
