https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USD
1646107200000,2022-03-01 04:00:00,AXS/USD,53.99,61.26,53.54,57.33,2562.093725,146884.83325425
1646020800000,2022-02-28 04:00:00,AXS/USD,47.97,56.94,47.15,53.99,3410.131946,184113.02376454
1645934400000,2022-02-27 04:00:00,AXS/USD,48.52,51.92,46.85,47.97,1691.859155,81158.48366535001
1645848000000,2022-02-26 04:00:00,AXS/USD,51.45,51.7,47.67,48.52,3682.500546,178674.92649192002
1645761600000,2022-02-25 04:00:00,AXS/USD,49.26,52.82,46.41,51.45,2688.1455,138305.08597500002
1645675200000,2022-02-24 04:00:00,AXS/USD,44.47,49.54,44.47,49.26,586.595621,28895.70029046
1645588800000,2022-02-23 04:00:00,AXS/USD,50.06,53.43,44.47,44.47,7152.986403,318093.30534141
1645502400000,2022-02-22 04:00:00,AXS/USD,46.59,51.57,46.48,50.06,3370.158637,168710.14136822
1645416000000,2022-02-21 04:00:00,AXS/USD,54.72,56.0,46.1,46.59,8563.679766,398981.84029794
1645329600000,2022-02-20 04:00:00,AXS/USD,52.81,56.04,49.58,54.72,3388.724222,185430.98942784
1645243200000,2022-02-19 04:00:00,AXS/USD,56.01,56.75,52.78,52.81,3234.938754,170837.11559874
1645156800000,2022-02-18 04:00:00,AXS/USD,57.07,57.93,53.86,56.01,1784.131191,99929.18800791
1645070400000,2022-02-17 04:00:00,AXS/USD,61.99,62.42,55.86,57.07,3234.175257,184574.38191698998
1644984000000,2022-02-16 04:00:00,AXS/USD,64.84,64.84,61.99,61.99,1342.375436,83213.85327764001
1644897600000,2022-02-15 04:00:00,AXS/USD,59.15,66.19,57.53,64.84,3237.395792,209912.74315328
1644811200000,2022-02-14 04:00:00,AXS/USD,56.97,59.97,55.17,59.15,1712.882551,101317.00289164999
1644724800000,2022-02-13 04:00:00,AXS/USD,59.66,59.99,55.86,56.97,970.252696,55275.29609112
1644638400000,2022-02-12 04:00:00,AXS/USD,59.43,61.5,56.83,59.66,2348.677333,140122.08968678
1644552000000,2022-02-11 04:00:00,AXS/USD,64.52,64.97,56.83,59.43,3975.125208,236241.69111143998
1644465600000,2022-02-10 04:00:00,AXS/USD,64.99,68.25,61.97,64.52,2558.932705,165102.3381266
1644379200000,2022-02-09 04:00:00,AXS/USD,64.03,67.36,64.03,64.99,208.949712,13579.641782879999
1644292800000,2022-02-08 04:00:00,AXS/USD,67.47,69.42,62.2,64.03,7452.876278,477207.66808033996
1644206400000,2022-02-07 04:00:00,AXS/USD,70.69,70.77,66.4,67.47,5998.901454,404745.88110138
1644120000000,2022-02-06 04:00:00,AXS/USD,61.4,72.19,59.65,70.69,15968.773387,1128832.5907270298
1644033600000,2022-02-05 04:00:00,AXS/USD,52.96,64.62,52.84,61.4,8295.907807,509368.7393498
1643947200000,2022-02-04 04:00:00,AXS/USD,48.47,53.58,47.59,52.96,2083.781264,110357.05574144001
1643860800000,2022-02-03 04:00:00,AXS/USD,48.25,49.18,46.19,48.47,3028.543561,146793.50640167
1643774400000,2022-02-02 04:00:00,AXS/USD,53.17,53.17,47.87,48.25,1606.07794,77493.26060499999
1643688000000,2022-02-01 04:00:00,AXS/USD,53.43,54.85,52.27,53.17,4155.597977,220953.14443709003
1643601600000,2022-01-31 04:00:00,AXS/USD,50.67,53.51,49.9,53.43,2262.411087,120880.62437841
1643515200000,2022-01-30 04:00:00,AXS/USD,51.43,56.19,50.23,50.67,4500.295336,228029.96467512002
1643428800000,2022-01-29 04:00:00,AXS/USD,47.18,74.19,46.87,51.43,8408.86927,432468.14655609993
1643342400000,2022-01-28 04:00:00,AXS/USD,47.83,56.0,44.7,47.18,3859.03502,182069.2722436
1643256000000,2022-01-27 04:00:00,AXS/USD,52.02,53.0,44.97,47.83,3862.316751,184734.61020032997
1643169600000,2022-01-26 04:00:00,AXS/USD,51.95,55.76,48.0,52.02,2038.015043,106017.54253686001
1643083200000,2022-01-25 04:00:00,AXS/USD,50.77,53.17,49.46,51.95,2814.881853,146233.11226335
1642996800000,2022-01-24 04:00:00,AXS/USD,52.52,57.99,44.6,50.77,6107.392524,310072.31844348
1642910400000,2022-01-23 04:00:00,AXS/USD,52.75,59.0,50.58,52.52,4402.070057,231196.71939364
1642824000000,2022-01-22 04:00:00,AXS/USD,57.53,66.5,47.82,52.75,6824.804954,360008.4613235
1642737600000,2022-01-21 04:00:00,AXS/USD,65.22,66.56,56.84,57.53,4594.069284,264296.80590852
1642651200000,2022-01-20 04:00:00,AXS/USD,72.1,75.85,63.64,65.22,3554.210314,231805.59667908
1642564800000,2022-01-19 04:00:00,AXS/USD,72.2,73.31,71.31,72.1,2269.597207,163637.95862469997
1642478400000,2022-01-18 04:00:00,AXS/USD,75.74,76.7,71.72,72.2,2346.748405,169435.234841
1642392000000,2022-01-17 04:00:00,AXS/USD,80.36,83.66,75.13,75.74,1971.413557,149314.86280718
1642305600000,2022-01-16 04:00:00,AXS/USD,75.79,82.57,75.47,80.36,4590.672363,368906.43109067995
1642219200000,2022-01-15 04:00:00,AXS/USD,74.47,76.23,73.03,75.79,1108.621329,84022.41052491001
1642132800000,2022-01-14 04:00:00,AXS/USD,74.47,75.59,71.17,74.47,3135.635703,233510.79080241
1642046400000,2022-01-13 04:00:00,AXS/USD,76.73,78.48,72.49,74.47,2424.336556,180540.34332532002
1641960000000,2022-01-12 04:00:00,AXS/USD,73.13,79.65,73.13,76.73,2595.237592,199132.58043416002
1641873600000,2022-01-11 04:00:00,AXS/USD,70.36,73.43,68.26,73.13,2408.953616,176166.77793807996
1641787200000,2022-01-10 04:00:00,AXS/USD,72.22,73.16,65.5,70.36,3142.353226,221095.97298136
1641700800000,2022-01-09 04:00:00,AXS/USD,71.81,74.19,69.1,72.22,4622.128025,333810.0859655
1641614400000,2022-01-08 04:00:00,AXS/USD,74.98,75.88,67.75,71.81,3680.177126,264273.51941806
1641528000000,2022-01-07 04:00:00,AXS/USD,72.83,75.74,70.46,74.98,5057.569946,379216.59455107996
1641441600000,2022-01-06 04:00:00,AXS/USD,76.97,80.4,72.66,72.83,13280.168827,967194.69567041
1641355200000,2022-01-05 04:00:00,AXS/USD,94.61,94.61,74.85,76.97,8090.989847,622763.48852359
