https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SNX,Volume USD
1644033600000,2022-02-05 04:00:00,SNX/USD,5.6739,6.0254,5.665,5.7221,25563.469573,146276.72924366329
1643947200000,2022-02-04 04:00:00,SNX/USD,5.001,5.7,4.9496,5.6739,23476.586539,133203.80436363208
1643860800000,2022-02-03 04:00:00,SNX/USD,5.1781,5.2467,4.9264,5.001,24594.173644,122995.462393644
1643774400000,2022-02-02 04:00:00,SNX/USD,5.648,5.9261,5.1662,5.1781,22247.306533,115198.7779585273
1643688000000,2022-02-01 04:00:00,SNX/USD,5.5778,5.7046,5.3633,5.648,30837.780029,174171.78160379198
1643601600000,2022-01-31 04:00:00,SNX/USD,5.1244,5.7903,5.085,5.5778,44354.324144,247399.54921040317
1643515200000,2022-01-30 04:00:00,SNX/USD,5.2923,5.514,5.029,5.1244,26875.838428,137722.5464404432
1643428800000,2022-01-29 04:00:00,SNX/USD,4.7181,5.4838,4.7181,5.2923,53557.43793,283442.028756939
1643342400000,2022-01-28 04:00:00,SNX/USD,4.645,4.7366,4.4367,4.7181,21755.479416,102644.52743262959
1643256000000,2022-01-27 04:00:00,SNX/USD,4.5401,4.9777,4.3927,4.645,139295.949098,647029.68356021
1643169600000,2022-01-26 04:00:00,SNX/USD,4.4395,4.8535,4.4146,4.5401,48543.710655,220393.3007447655
1643083200000,2022-01-25 04:00:00,SNX/USD,4.1597,4.4611,4.0225,4.4395,33305.320763,147858.9715273385
1642996800000,2022-01-24 04:00:00,SNX/USD,3.7883,4.2501,3.5249,4.1597,75571.673633,314355.4908111901
1642910400000,2022-01-23 04:00:00,SNX/USD,3.8123,4.0058,3.6904,3.7883,31498.914741,119327.3387133303
1642824000000,2022-01-22 04:00:00,SNX/USD,4.1597,4.1793,3.5211,3.8123,81778.961905,311765.9364704315
1642737600000,2022-01-21 04:00:00,SNX/USD,4.6697,4.7497,4.0532,4.1597,58541.861116,243516.5796842252
1642651200000,2022-01-20 04:00:00,SNX/USD,4.9269,5.0878,4.5855,4.6697,45144.1767,210809.76193599
1642564800000,2022-01-19 04:00:00,SNX/USD,4.9382,4.9908,4.8692,4.9269,15611.628452,76916.93222015881
1642478400000,2022-01-18 04:00:00,SNX/USD,4.9945,5.0815,4.8626,4.9382,25656.991771,126699.3567635522
1642392000000,2022-01-17 04:00:00,SNX/USD,5.154,5.1886,4.9205,4.9945,21039.111723,105079.84350052352
1642305600000,2022-01-16 04:00:00,SNX/USD,5.2152,5.4512,5.154,5.154,21130.269635,108905.40969879
1642219200000,2022-01-15 04:00:00,SNX/USD,5.3514,5.4069,5.1882,5.2152,23694.147969,123569.72048792882
1642132800000,2022-01-14 04:00:00,SNX/USD,5.0974,5.3609,4.9399,5.3514,60846.762782,325615.3663515948
1642046400000,2022-01-13 04:00:00,SNX/USD,5.3026,5.5,5.0386,5.0974,12981.834659,66173.6039907866
1641960000000,2022-01-12 04:00:00,SNX/USD,5.0803,5.502,5.0803,5.3026,17110.250757,90728.81566406821
1641873600000,2022-01-11 04:00:00,SNX/USD,4.9487,5.1132,4.8423,5.0803,14552.60783,73931.61355874901
1641787200000,2022-01-10 04:00:00,SNX/USD,5.0743,5.1387,4.6216,4.9487,37895.445734,187533.1923038458
1641700800000,2022-01-09 04:00:00,SNX/USD,5.1285,5.2587,4.9776,5.0743,20799.846889,105544.66306885271
1641614400000,2022-01-08 04:00:00,SNX/USD,5.5042,5.5921,4.9284,5.1285,54439.118833,279191.0209350405
1641528000000,2022-01-07 04:00:00,SNX/USD,5.5099,5.592,5.2577,5.5042,48019.873305,264310.986645381
1641441600000,2022-01-06 04:00:00,SNX/USD,6.0399,6.1688,5.4985,5.5099,36193.698682,199423.66036795182
1641355200000,2022-01-05 04:00:00,SNX/USD,6.8368,7.4038,5.9272,6.0399,109445.076051,661037.3148404349
