https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SAND,Volume USD
1640664000000,2021-12-28 04:00:00,SAND/USD,6.16387,6.41588,5.72568,6.07092,1051643.026549,6384440.682736856
1640577600000,2021-12-27 04:00:00,SAND/USD,6.70748,6.77966,6.07339,6.16387,700080.697068,4315206.406236533
1640491200000,2021-12-26 04:00:00,SAND/USD,6.66175,6.89718,6.59023,6.70748,437400.192335,2933853.042083166
1640404800000,2021-12-25 04:00:00,SAND/USD,5.91508,6.9629,5.91508,6.66175,836352.091267,5571568.543997937
1640318400000,2021-12-24 04:00:00,SAND/USD,6.25594,6.32194,5.76539,5.91508,500773.536272,2962115.5289317816
1640232000000,2021-12-23 04:00:00,SAND/USD,5.11892,6.46419,5.0457,6.25594,1252744.317673,7837093.286703228
1640145600000,2021-12-22 04:00:00,SAND/USD,5.19411,5.21929,5.03739,5.11892,406207.821676,2079345.3425337102
1640059200000,2021-12-21 04:00:00,SAND/USD,4.99976,5.25434,4.99501,5.19411,1236068.077243,6420273.560688639
1639972800000,2021-12-20 04:00:00,SAND/USD,4.91913,5.04445,4.72,4.99976,898548.02943,4492524.495622937
1639886400000,2021-12-19 04:00:00,SAND/USD,5.2267,5.25902,4.8941,4.91913,216565.90801,1065315.8550692315
1639800000000,2021-12-18 04:00:00,SAND/USD,4.96972,5.27661,4.92302,5.2267,657932.193514,3438814.195839624
1639713600000,2021-12-17 04:00:00,SAND/USD,5.00941,5.08933,4.68739,4.96972,605629.781328,3009810.436861388
1639627200000,2021-12-16 04:00:00,SAND/USD,5.23901,5.23901,4.90186,5.00941,106143.501358,531716.3171377787
1639540800000,2021-12-15 04:00:00,SAND/USD,4.76927,5.3618,4.42336,5.23901,956702.783847,5012175.451602272
1639454400000,2021-12-14 04:00:00,SAND/USD,4.80624,4.86067,4.54492,4.76927,1138764.83679,5431076.973157443
1639368000000,2021-12-13 04:00:00,SAND/USD,5.33416,5.36608,4.6817,4.80624,1684944.18448,8098246.137215155
1639281600000,2021-12-12 04:00:00,SAND/USD,5.27534,5.61847,5.1728,5.33416,534333.607395,2850220.9552221135
