https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume USD
1651464000000,2022-05-02 04:00:00,GRT/USD,0.3137,0.3187,0.298,0.3148,401965.362364,126538.69607218722
1651377600000,2022-05-01 04:00:00,GRT/USD,0.3112,0.3256,0.3052,0.3137,273750.408394,85875.5031131978
1651291200000,2022-04-30 04:00:00,GRT/USD,0.3539,0.3567,0.2922,0.3112,887762.896213,276271.8133014856
1651204800000,2022-04-29 04:00:00,GRT/USD,0.351,0.3597,0.3371,0.3539,1011670.244085,358030.0993816815
1651118400000,2022-04-28 04:00:00,GRT/USD,0.3767,0.4099,0.35,0.351,819331.887349,287585.492459499
1651032000000,2022-04-27 04:00:00,GRT/USD,0.3419,0.3784,0.3419,0.3767,740662.064505,279007.39969903347
1650945600000,2022-04-26 04:00:00,GRT/USD,0.3658,0.4036,0.3333,0.3419,953122.49531,325872.581146489
1650859200000,2022-04-25 04:00:00,GRT/USD,0.3484,0.3724,0.3261,0.3658,578249.568729,211523.69224106823
1650772800000,2022-04-24 04:00:00,GRT/USD,0.361,0.3625,0.3402,0.3484,258489.060745,90057.588763558
1650686400000,2022-04-23 04:00:00,GRT/USD,0.349,0.3625,0.3439,0.361,511902.560557,184796.824361077
1650600000000,2022-04-22 04:00:00,GRT/USD,0.36,0.3666,0.3486,0.349,316573.819999,110484.263179651
1650513600000,2022-04-21 04:00:00,GRT/USD,0.369,0.3944,0.35,0.36,576137.184186,207409.38630696
1650427200000,2022-04-20 04:00:00,GRT/USD,0.3624,0.3706,0.3624,0.369,45930.658559,16948.413008271
1650340800000,2022-04-19 04:00:00,GRT/USD,0.3593,0.3701,0.3551,0.3624,208639.381745,75610.91194438799
1650254400000,2022-04-18 04:00:00,GRT/USD,0.3543,0.3685,0.3317,0.3593,190450.072002,68428.7108703186
1650168000000,2022-04-17 04:00:00,GRT/USD,0.3645,0.3699,0.3464,0.3543,81113.239046,28738.420593997802
1650081600000,2022-04-16 04:00:00,GRT/USD,0.3657,0.3665,0.3564,0.3645,75543.498344,27535.605146388003
1649995200000,2022-04-15 04:00:00,GRT/USD,0.3693,0.3713,0.3587,0.3657,79871.177178,29208.8894939946
1649908800000,2022-04-14 04:00:00,GRT/USD,0.3852,0.386,0.3567,0.3693,236098.151273,87191.0472651189
1649822400000,2022-04-13 04:00:00,GRT/USD,0.3735,0.3899,0.3735,0.3852,133091.468262,51266.8335745224
1649736000000,2022-04-12 04:00:00,GRT/USD,0.3522,0.375,0.3517,0.3735,250359.400492,93509.23608376199
1649649600000,2022-04-11 04:00:00,GRT/USD,0.3764,0.3841,0.3422,0.3522,283530.857005,99859.567837161
1649563200000,2022-04-10 04:00:00,GRT/USD,0.4033,0.4098,0.3723,0.3764,268922.637104,101222.48060594562
