https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1642478400000,2022-01-18 04:00:00,1INCH/USD,2.2203,2.2332,2.1069,2.1165,41622.388892,88093.786089918
1642392000000,2022-01-17 04:00:00,1INCH/USD,2.3327,2.3624,2.2069,2.2203,26552.843459,58955.2783320177
1642305600000,2022-01-16 04:00:00,1INCH/USD,2.4104,2.4601,2.3327,2.3327,22638.288637,52808.3359035299
1642219200000,2022-01-15 04:00:00,1INCH/USD,2.3664,2.4404,2.3416,2.4104,10691.492727,25770.7740691608
1642132800000,2022-01-14 04:00:00,1INCH/USD,2.3765,2.4512,2.2667,2.3664,122251.92447,289296.954065808
1642046400000,2022-01-13 04:00:00,1INCH/USD,2.4692,2.5201,2.3228,2.3765,62076.675563,147525.2194754695
1641960000000,2022-01-12 04:00:00,1INCH/USD,2.1606,2.4928,2.1606,2.4692,57444.435197,141841.79938843238
1641873600000,2022-01-11 04:00:00,1INCH/USD,2.102,2.2189,2.0355,2.1606,26761.415797,57820.714970998204
1641787200000,2022-01-10 04:00:00,1INCH/USD,2.1559,2.1861,1.9707,2.102,45743.961828,96153.807762456
1641700800000,2022-01-09 04:00:00,1INCH/USD,2.1416,2.1999,2.0918,2.1559,7831.44251,16883.806907308997
1641614400000,2022-01-08 04:00:00,1INCH/USD,2.2084,2.2392,2.0355,2.1416,59187.429915,126755.799905964
1641528000000,2022-01-07 04:00:00,1INCH/USD,2.2004,2.2521,2.12,2.2084,69862.062457,154283.37873003882
1641441600000,2022-01-06 04:00:00,1INCH/USD,2.2354,2.3847,2.1929,2.2004,30350.29405,66782.78702762001
1641355200000,2022-01-05 04:00:00,1INCH/USD,2.5486,2.5769,2.2081,2.2354,91021.941614,203470.44828393558
1641268800000,2022-01-04 04:00:00,1INCH/USD,2.5259,2.5976,2.4632,2.5486,26860.295186,68456.1483110396
1641182400000,2022-01-03 04:00:00,1INCH/USD,2.5678,2.6598,2.4919,2.5259,55386.632777,139901.0957314243
1641096000000,2022-01-02 04:00:00,1INCH/USD,2.5056,2.5875,2.4664,2.5678,26497.354362,68039.9065307436
1641009600000,2022-01-01 04:00:00,1INCH/USD,2.4257,2.5368,2.3982,2.5056,20354.812261,51001.01760116159
1640923200000,2021-12-31 04:00:00,1INCH/USD,2.4373,2.5131,2.3456,2.4257,39976.312458,96970.5411293706
1640836800000,2021-12-30 04:00:00,1INCH/USD,2.3663,2.525,2.3658,2.4373,41507.611825,101166.5023010725
1640750400000,2021-12-29 04:00:00,1INCH/USD,2.5833,2.5915,2.3392,2.3663,48861.630816,115621.27699990079
1640664000000,2021-12-28 04:00:00,1INCH/USD,2.7032,2.7332,2.5242,2.5833,33625.251838,86864.11307310539
1640577600000,2021-12-27 04:00:00,1INCH/USD,2.8087,2.9801,2.6611,2.7032,39182.352316,105917.73478061118
1640491200000,2021-12-26 04:00:00,1INCH/USD,2.6438,2.8184,2.639,2.8087,20846.797872,58552.4011830864
1640404800000,2021-12-25 04:00:00,1INCH/USD,2.7214,2.7913,2.6315,2.6438,36354.36558,96113.671720404
1640318400000,2021-12-24 04:00:00,1INCH/USD,2.7608,2.9811,2.6942,2.7214,36511.002471,99361.0421245794
1640232000000,2021-12-23 04:00:00,1INCH/USD,2.5804,2.8984,2.5599,2.7608,66503.415838,183602.6304455504
1640145600000,2021-12-22 04:00:00,1INCH/USD,2.4558,2.6067,2.4416,2.5804,13057.597405,33693.824343862005
1640059200000,2021-12-21 04:00:00,1INCH/USD,2.4199,2.4796,2.4043,2.4558,25582.127862,62824.589603499604
1639972800000,2021-12-20 04:00:00,1INCH/USD,2.4116,2.4342,2.3019,2.4199,21589.376571,52244.132364162906
1639886400000,2021-12-19 04:00:00,1INCH/USD,2.5002,2.5207,2.3952,2.4116,16259.714557,39211.9276256612
1639800000000,2021-12-18 04:00:00,1INCH/USD,2.4865,2.6146,2.4461,2.5002,29551.404157,73884.4206733314
1639713600000,2021-12-17 04:00:00,1INCH/USD,2.6103,2.6495,2.3933,2.4865,39869.540643,99135.6128088195
1639627200000,2021-12-16 04:00:00,1INCH/USD,2.5628,2.6774,2.5382,2.6103,16901.104533,44116.9531624899
