https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENJ,Volume USD
1649736000000,2022-04-12 04:00:00,ENJ/USD,1.537,1.616,1.4962,1.5557,144207.769682,224344.02729428743
1649649600000,2022-04-11 04:00:00,ENJ/USD,1.6095,1.6331,1.4658,1.537,236581.482855,363625.739148135
1649563200000,2022-04-10 04:00:00,ENJ/USD,1.7655,1.7738,1.5958,1.6095,58593.415279,94306.1018915505
1649476800000,2022-04-09 04:00:00,ENJ/USD,1.6858,1.8267,1.6837,1.7655,83650.347668,147684.68880785402
1649390400000,2022-04-08 04:00:00,ENJ/USD,1.6797,1.7764,1.6369,1.6858,113471.516954,191290.2832810532
1649304000000,2022-04-07 04:00:00,ENJ/USD,1.5402,1.731,1.5392,1.6797,190805.528264,320496.0458250408
1649217600000,2022-04-06 04:00:00,ENJ/USD,1.6469,1.6469,1.48,1.5402,103948.447093,160101.3982126386
1649131200000,2022-04-05 04:00:00,ENJ/USD,1.8032,1.8115,1.5844,1.6469,121728.663834,200474.9364682146
1649044800000,2022-04-04 04:00:00,ENJ/USD,1.8415,1.873,1.6895,1.8032,127234.976168,229430.10902613756
1648958400000,2022-04-03 04:00:00,ENJ/USD,1.8471,1.9152,1.8341,1.8415,63237.789539,116452.3894360685
1648872000000,2022-04-02 04:00:00,ENJ/USD,1.8946,1.9277,1.801,1.8471,60583.483499,111903.7523710029
1648785600000,2022-04-01 04:00:00,ENJ/USD,1.7638,1.9294,1.7603,1.8946,199042.920418,377106.7170239428
1648699200000,2022-03-31 04:00:00,ENJ/USD,1.8232,1.9699,1.7364,1.7638,341596.609337,602508.0995486006
1648612800000,2022-03-30 04:00:00,ENJ/USD,1.7269,1.8803,1.7269,1.8232,128633.900571,234525.3275210472
1648526400000,2022-03-29 04:00:00,ENJ/USD,1.7485,1.8238,1.6709,1.7269,179822.716352,310535.8488682688
1648440000000,2022-03-28 04:00:00,ENJ/USD,1.7965,1.8484,1.686,1.7485,124167.005771,217106.0095905935
1648353600000,2022-03-27 04:00:00,ENJ/USD,1.666,1.8023,1.6595,1.7965,137264.332285,246595.37295000252
1648267200000,2022-03-26 04:00:00,ENJ/USD,1.6192,1.6963,1.6117,1.666,49148.687822,81881.713911452
1648180800000,2022-03-25 04:00:00,ENJ/USD,1.6579,1.6883,1.5701,1.6192,169304.753434,274138.2567603328
1648094400000,2022-03-24 04:00:00,ENJ/USD,1.6284,1.7009,1.5935,1.6579,261075.873399,432837.69050820207
1648008000000,2022-03-23 04:00:00,ENJ/USD,1.4614,1.6822,1.4614,1.6284,66774.914661,108736.27103397241
