https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USD
1648699200000,2022-03-31 04:00:00,FIL/USD,26.4434,26.7191,22.9618,23.3598,42855.884253,1001104.8849732293
1648612800000,2022-03-30 04:00:00,FIL/USD,25.6784,27.4921,25.373,26.4434,30464.062895,805573.400757643
1648526400000,2022-03-29 04:00:00,FIL/USD,25.9063,28.0793,24.75,25.6784,97158.606596,2494877.5636147265
1648440000000,2022-03-28 04:00:00,FIL/USD,24.6454,27.8647,24.3,25.9063,136922.947152,3547166.945803858
1648353600000,2022-03-27 04:00:00,FIL/USD,19.4277,25.1286,18.9495,24.6454,140781.100424,3469606.5323896497
1648267200000,2022-03-26 04:00:00,FIL/USD,18.7546,19.5922,18.7422,19.4277,15656.159978,304163.1792045906
1648180800000,2022-03-25 04:00:00,FIL/USD,19.3981,19.5636,18.4225,18.7546,15213.40307,285321.289216622
1648094400000,2022-03-24 04:00:00,FIL/USD,19.1073,19.7891,18.914,19.3981,49867.197869,967328.8909826489
1648008000000,2022-03-23 04:00:00,FIL/USD,19.0442,19.4614,18.7922,19.1073,13933.901161,266239.2296535753
1647921600000,2022-03-22 04:00:00,FIL/USD,18.179,19.5932,18.0601,19.0442,34809.986346,662928.3419704932
1647835200000,2022-03-21 04:00:00,FIL/USD,17.559,18.229,17.559,18.179,5075.42316,92266.11762563999
1647748800000,2022-03-20 04:00:00,FIL/USD,18.1766,18.209,17.25,17.559,19273.005905,338414.71068589506
1647662400000,2022-03-19 04:00:00,FIL/USD,17.7174,18.3778,17.7016,18.1766,28539.640319,518753.6262223354
1647576000000,2022-03-18 04:00:00,FIL/USD,17.28,17.8353,17.1,17.7174,44736.15643,792608.377932882
1647489600000,2022-03-17 04:00:00,FIL/USD,17.3744,17.7951,17.187,17.28,37385.744719,646025.66874432
1647403200000,2022-03-16 04:00:00,FIL/USD,16.8759,17.4603,16.8129,17.3744,29541.479809,513265.48679348966
1647316800000,2022-03-15 04:00:00,FIL/USD,17.1462,17.4819,16.468,16.8759,27257.502416,459994.88502217445
1647230400000,2022-03-14 04:00:00,FIL/USD,17.328,17.6906,17.085,17.1462,16545.23526,283687.91281501204
1647144000000,2022-03-13 04:00:00,FIL/USD,17.9746,18.0318,17.0662,17.328,12829.732374,222313.60257667198
1647057600000,2022-03-12 04:00:00,FIL/USD,17.5843,18.4817,17.4731,17.9746,25220.67675,453331.5763105499
1646971200000,2022-03-11 04:00:00,FIL/USD,17.6646,18.069,17.1887,17.5843,23024.251477,404865.3452470111
1646884800000,2022-03-10 04:00:00,FIL/USD,18.3597,18.3597,17.3612,17.6646,17538.489914,309810.4089348444
1646798400000,2022-03-09 04:00:00,FIL/USD,18.6798,18.8573,18.2906,18.3597,10109.048312,185599.0942938264
1646712000000,2022-03-08 04:00:00,FIL/USD,18.0691,18.823,17.9605,18.6798,15141.423785,282838.768019043
1646625600000,2022-03-07 04:00:00,FIL/USD,17.9923,18.8928,17.1515,18.0691,42851.172639,774282.1235313548
1646539200000,2022-03-06 04:00:00,FIL/USD,18.8051,19.1813,17.724,17.9923,28347.270142,510032.58857590664
1646452800000,2022-03-05 04:00:00,FIL/USD,18.751,19.2335,18.594,18.8051,6137.54136,115417.079028936
1646366400000,2022-03-04 04:00:00,FIL/USD,19.2036,19.9577,18.2997,18.751,31397.535497,588735.1881042471
1646280000000,2022-03-03 04:00:00,FIL/USD,20.3077,20.592,19.0555,19.2036,29116.664452,559144.7774704272
1646193600000,2022-03-02 04:00:00,FIL/USD,21.0241,21.0715,20.1455,20.3077,19279.999525,391532.4463538425
1646107200000,2022-03-01 04:00:00,FIL/USD,21.4561,21.9452,20.5497,21.0241,46786.255707,983638.9186095387
1646020800000,2022-02-28 04:00:00,FIL/USD,20.4252,22.2708,20.1083,21.4561,53895.125343,1156379.1988719422
1645934400000,2022-02-27 04:00:00,FIL/USD,18.6349,21.3194,18.596,20.4252,62126.202441,1268940.1100979133
1645848000000,2022-02-26 04:00:00,FIL/USD,19.0437,19.4565,18.4225,18.6349,24529.303442,457101.11671132577
1645761600000,2022-02-25 04:00:00,FIL/USD,18.6563,19.3996,18.15,19.0437,31382.357062,597636.1931816094
1645675200000,2022-02-24 04:00:00,FIL/USD,17.1515,18.7892,17.1515,18.6563,3926.726642,73258.19025114461
1645588800000,2022-02-23 04:00:00,FIL/USD,18.9173,19.6047,16.785,17.1515,41627.11694,713967.4961964099
1645502400000,2022-02-22 04:00:00,FIL/USD,18.259,19.3615,18.1984,18.9173,37289.741349,705421.2240214378
1645416000000,2022-02-21 04:00:00,FIL/USD,20.1904,20.4617,18.1113,18.259,51845.871024,946653.759027216
1645329600000,2022-02-20 04:00:00,FIL/USD,20.4241,20.4766,19.386,20.1904,34179.766704,690103.1616604417
1645243200000,2022-02-19 04:00:00,FIL/USD,21.0356,21.2329,20.1176,20.4241,54075.825242,1104450.062325132
1645156800000,2022-02-18 04:00:00,FIL/USD,20.9173,21.3587,20.2181,21.0356,58455.203639,1229640.2816685482
1645070400000,2022-02-17 04:00:00,FIL/USD,22.5796,22.8704,20.2181,20.9173,64645.410641,1352207.4480009894
1644984000000,2022-02-16 04:00:00,FIL/USD,21.8946,23.5458,20.4479,22.5796,41832.981176,944571.9817616096
1644897600000,2022-02-15 04:00:00,FIL/USD,21.1427,22.5166,21.022,21.8946,35694.700678,781521.1934645389
1644811200000,2022-02-14 04:00:00,FIL/USD,20.1995,21.3341,19.9739,21.1427,35211.534216,744466.9044686232
1644724800000,2022-02-13 04:00:00,FIL/USD,20.9276,21.1878,19.98,20.1995,23618.948217,477090.94450929156
1644638400000,2022-02-12 04:00:00,FIL/USD,21.1366,21.3757,20.3168,20.9276,27817.443647,582152.3336669572
1644552000000,2022-02-11 04:00:00,FIL/USD,23.0169,23.4081,20.7538,21.1366,34601.983006,731368.2740046197
1644465600000,2022-02-10 04:00:00,FIL/USD,23.7338,24.7965,22.671,23.0169,86218.732627,1984487.9470023965
1644379200000,2022-02-09 04:00:00,FIL/USD,23.9205,24.2578,23.595,23.7338,3226.82585,76584.83935873
1644292800000,2022-02-08 04:00:00,FIL/USD,25.1655,26.2029,23.2108,23.9205,159952.107817,3826134.395036549
1644206400000,2022-02-07 04:00:00,FIL/USD,22.9904,25.8062,22.6158,25.1655,130050.675373,3272790.2710992317
1644120000000,2022-02-06 04:00:00,FIL/USD,22.3468,22.9911,21.5961,22.9904,50804.136846,1168007.4277442785
1644033600000,2022-02-05 04:00:00,FIL/USD,21.8555,22.8068,21.7036,22.3468,36447.512195,814485.2655192261
1643947200000,2022-02-04 04:00:00,FIL/USD,20.2803,21.8555,20.2224,21.8555,55826.970434,1220126.352320287
1643860800000,2022-02-03 04:00:00,FIL/USD,20.0148,20.5343,19.554,20.2803,63814.188317,1294170.8833252552
1643774400000,2022-02-02 04:00:00,FIL/USD,20.5728,21.0664,19.907,20.0148,19475.388754,389796.0108335592
1643688000000,2022-02-01 04:00:00,FIL/USD,21.4607,21.5342,20.3804,20.5728,33755.690962,694449.0790230336
