https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA,Volume USD
1652241600000,2022-05-11 04:00:00,MANA/USD,1.10909,1.10909,0.6995,0.7004,860834.986054,602928.8242322216
1652155200000,2022-05-10 04:00:00,MANA/USD,1.10366,1.22536,1.05777,1.10909,470575.570146,521910.6590932271
1652068800000,2022-05-09 04:00:00,MANA/USD,1.29051,1.30831,1.02105,1.10366,653828.423974,721604.2784031449
1651982400000,2022-05-08 04:00:00,MANA/USD,1.33623,1.3763,1.27484,1.29051,223274.587227,288138.0875623158
1651896000000,2022-05-07 04:00:00,MANA/USD,1.40243,1.43648,1.31358,1.33623,79519.504395,106256.34735773085
1651809600000,2022-05-06 04:00:00,MANA/USD,1.47089,1.47771,1.39461,1.40243,90252.7948,126573.22701136401
1651723200000,2022-05-05 04:00:00,MANA/USD,1.65893,1.66402,1.4194,1.47089,142064.272144,208960.91725388815
1651636800000,2022-05-04 04:00:00,MANA/USD,1.49198,1.67773,1.46983,1.65893,157948.764682,262025.94419391028
1651550400000,2022-05-03 04:00:00,MANA/USD,1.51883,1.58848,1.448,1.49198,190651.268138,284447.8790365333
1651464000000,2022-05-02 04:00:00,MANA/USD,1.52738,1.55449,1.4331,1.51883,220121.753304,334327.5225707143
1651377600000,2022-05-01 04:00:00,MANA/USD,1.44989,1.58086,1.42623,1.52738,459391.154835,701664.8620718822
1651291200000,2022-04-30 04:00:00,MANA/USD,1.66867,1.69343,1.34156,1.44989,681522.825119,988133.128911787
1651204800000,2022-04-29 04:00:00,MANA/USD,1.77892,1.79141,1.62,1.66867,698760.538231,1166000.7473299229
1651118400000,2022-04-28 04:00:00,MANA/USD,1.82632,1.86284,1.77834,1.77892,368751.423421,655979.2821520853
1651032000000,2022-04-27 04:00:00,MANA/USD,1.81787,1.8659,1.81533,1.82632,221895.678924,405252.51633247966
1650945600000,2022-04-26 04:00:00,MANA/USD,1.97515,1.98935,1.77837,1.81787,213690.045917,388460.72377113684
1650859200000,2022-04-25 04:00:00,MANA/USD,1.9524,2.00537,1.84602,1.97515,155243.463744,306629.1274139616
1650772800000,2022-04-24 04:00:00,MANA/USD,2.00657,2.02638,1.8543,1.9524,185299.738912,361779.2102517888
1650686400000,2022-04-23 04:00:00,MANA/USD,2.01731,2.04864,1.98302,2.00657,59855.250282,120103.74955835273
1650600000000,2022-04-22 04:00:00,MANA/USD,2.04592,2.07903,2.00814,2.01731,62654.886231,126394.32854265861
1650513600000,2022-04-21 04:00:00,MANA/USD,2.12807,2.16378,1.99471,2.04592,503126.908125,1029357.4038711002
