https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CRV,Volume USD
1649390400000,2022-04-08 04:00:00,CRV/USD,2.5722,2.5763,2.3186,2.3492,100314.427054,235658.65203525682
1649304000000,2022-04-07 04:00:00,CRV/USD,2.462,2.5805,2.4497,2.5722,41895.71585,107764.16030937
1649217600000,2022-04-06 04:00:00,CRV/USD,2.7214,2.7214,2.4407,2.462,89034.81946,219203.72551052002
1649131200000,2022-04-05 04:00:00,CRV/USD,2.9514,2.9608,2.666,2.7214,113711.038717,309453.2207644438
1649044800000,2022-04-04 04:00:00,CRV/USD,2.9242,2.9586,2.7458,2.9514,126374.100388,372980.5198851432
1648958400000,2022-04-03 04:00:00,CRV/USD,2.9173,3.051,2.8897,2.9242,62172.326674,181804.3176601108
1648872000000,2022-04-02 04:00:00,CRV/USD,2.8471,3.106,2.8326,2.9173,146261.305047,426688.10521361313
1648785600000,2022-04-01 04:00:00,CRV/USD,2.6155,3.0,2.6155,2.8471,163754.844936,466226.41901728563
1648699200000,2022-03-31 04:00:00,CRV/USD,2.9107,2.9391,2.5591,2.6155,98407.068006,257383.686369693
1648612800000,2022-03-30 04:00:00,CRV/USD,2.7858,2.9374,2.7858,2.9107,72927.117882,212268.9620191374
1648526400000,2022-03-29 04:00:00,CRV/USD,2.6464,2.8876,2.6464,2.7858,155561.068881,433362.02568868984
1648440000000,2022-03-28 04:00:00,CRV/USD,2.6401,2.7267,2.5493,2.6464,152052.224032,402391.0056782848
1648353600000,2022-03-27 04:00:00,CRV/USD,2.4136,2.6703,2.4057,2.6401,169207.948413,446725.9046051613
1648267200000,2022-03-26 04:00:00,CRV/USD,2.3137,2.4369,2.3137,2.4136,36223.057207,87427.9708748152
1648180800000,2022-03-25 04:00:00,CRV/USD,2.3666,2.4368,2.2622,2.3137,76761.770133,177603.70755672207
1648094400000,2022-03-24 04:00:00,CRV/USD,2.369,2.4413,2.3362,2.3666,96724.546532,228908.3118226312
1648008000000,2022-03-23 04:00:00,CRV/USD,2.267,2.4042,2.267,2.369,24770.172383,58680.53837532701
1647921600000,2022-03-22 04:00:00,CRV/USD,2.2742,2.3264,2.25,2.267,59827.861839,135629.76278901298
1647835200000,2022-03-21 04:00:00,CRV/USD,2.1384,2.2962,2.1384,2.2742,22857.739871,51983.072014628204
1647748800000,2022-03-20 04:00:00,CRV/USD,2.254,2.2654,2.1383,2.1384,66354.966276,141893.45988459841
1647662400000,2022-03-19 04:00:00,CRV/USD,2.2673,2.3279,2.2298,2.254,44008.704091,99195.619021114
1647576000000,2022-03-18 04:00:00,CRV/USD,2.0864,2.6841,2.0812,2.2673,164699.575038,373423.3464836574
1647489600000,2022-03-17 04:00:00,CRV/USD,2.0807,2.175,2.0427,2.0864,212316.909635,442978.00026246393
1647403200000,2022-03-16 04:00:00,CRV/USD,1.9219,2.1102,1.9219,2.0807,45469.472445,94608.33131631151
1647316800000,2022-03-15 04:00:00,CRV/USD,1.925,2.027,1.8727,1.9219,37992.461024,73017.7108420256
1647230400000,2022-03-14 04:00:00,CRV/USD,1.9308,1.998,1.9,1.925,26092.99418,50229.0137965
1647144000000,2022-03-13 04:00:00,CRV/USD,2.026,2.0285,1.9,1.9308,18883.525635,36460.311296058004
1647057600000,2022-03-12 04:00:00,CRV/USD,2.0322,2.044,1.973,2.026,18907.137017,38305.859596441995
1646971200000,2022-03-11 04:00:00,CRV/USD,1.9799,2.0997,1.9497,2.0322,39469.670444,80210.2642762968
1646884800000,2022-03-10 04:00:00,CRV/USD,2.0504,2.0743,1.9436,1.9799,80914.098401,160201.8234241399
1646798400000,2022-03-09 04:00:00,CRV/USD,2.1676,2.1974,2.0464,2.0504,72203.668137,148046.40114810478
1646712000000,2022-03-08 04:00:00,CRV/USD,2.0547,2.1787,2.0273,2.1676,10976.305552,23792.2399145152
1646625600000,2022-03-07 04:00:00,CRV/USD,2.009,2.1351,1.9289,2.0547,56178.455219,115429.87193847931
1646539200000,2022-03-06 04:00:00,CRV/USD,2.2126,2.2238,2.0026,2.009,66042.51229,132679.40719060999
1646452800000,2022-03-05 04:00:00,CRV/USD,2.225,2.288,2.2038,2.2126,23411.8583,51801.07767458
1646366400000,2022-03-04 04:00:00,CRV/USD,2.4098,2.4772,2.1954,2.225,52721.129269,117304.51262352499
1646280000000,2022-03-03 04:00:00,CRV/USD,2.5743,2.6113,2.3891,2.4098,63163.060104,152210.3422386192
1646193600000,2022-03-02 04:00:00,CRV/USD,2.5889,2.7263,2.5463,2.5743,46500.416761,119706.0228678423
1646107200000,2022-03-01 04:00:00,CRV/USD,2.4724,2.6065,2.4049,2.5889,153857.313519,398321.1989693391
1646020800000,2022-02-28 04:00:00,CRV/USD,2.1656,2.4992,2.1277,2.4724,253537.079683,626845.0758082492
1645934400000,2022-02-27 04:00:00,CRV/USD,2.2934,2.3819,2.1446,2.1656,102369.646911,221691.7073504616
1645848000000,2022-02-26 04:00:00,CRV/USD,2.3749,2.438,2.2716,2.2934,32490.997811,74514.85437974741
1645761600000,2022-02-25 04:00:00,CRV/USD,2.2667,2.4566,2.1941,2.3749,90310.754514,214479.0108952986
1645675200000,2022-02-24 04:00:00,CRV/USD,2.0874,2.2963,2.0874,2.2667,19090.887605,43273.3149342535
1645588800000,2022-02-23 04:00:00,CRV/USD,2.361,2.5144,2.083,2.0874,71725.466244,149719.7382377256
1645502400000,2022-02-22 04:00:00,CRV/USD,2.2351,2.4336,2.2266,2.361,50878.926319,120125.145039159
1645416000000,2022-02-21 04:00:00,CRV/USD,2.628,2.6867,2.2351,2.2351,102018.983476,228022.62996720758
1645329600000,2022-02-20 04:00:00,CRV/USD,2.7406,2.7485,2.5138,2.628,104335.089953,274192.616396484
1645243200000,2022-02-19 04:00:00,CRV/USD,2.8331,2.8587,2.7155,2.7406,26262.422757,71974.7958078342
1645156800000,2022-02-18 04:00:00,CRV/USD,2.9681,2.9958,2.7983,2.8331,85637.906839,242620.7538655709
1645070400000,2022-02-17 04:00:00,CRV/USD,3.1653,3.2551,2.8808,2.9681,107916.817143,320307.9049621383
1644984000000,2022-02-16 04:00:00,CRV/USD,3.1395,3.2991,3.0601,3.1653,55982.842867,177202.4925269151
1644897600000,2022-02-15 04:00:00,CRV/USD,3.049,3.1952,3.0148,3.1395,95580.05682,300073.58838639
1644811200000,2022-02-14 04:00:00,CRV/USD,2.731,3.049,2.7016,3.049,66165.632368,201739.013090032
1644724800000,2022-02-13 04:00:00,CRV/USD,2.8956,2.9147,2.6554,2.731,40035.008841,109335.609144771
1644638400000,2022-02-12 04:00:00,CRV/USD,2.9056,3.015,2.7904,2.8956,69268.785829,200574.6962464524
1644552000000,2022-02-11 04:00:00,CRV/USD,3.179,3.2505,2.8185,2.9056,88854.673751,258176.1400509056
1644465600000,2022-02-10 04:00:00,CRV/USD,3.3681,3.4484,3.1091,3.179,116796.862075,371297.22453642497
1644379200000,2022-02-09 04:00:00,CRV/USD,3.3915,3.4898,3.351,3.3681,9061.095869,30518.676996378905
1644292800000,2022-02-08 04:00:00,CRV/USD,3.6467,3.7224,3.3016,3.3915,114981.485673,389959.7086599795
1644206400000,2022-02-07 04:00:00,CRV/USD,3.4307,3.7025,3.4074,3.6467,292900.198516,1068119.1539282973
1644120000000,2022-02-06 04:00:00,CRV/USD,3.4522,3.5317,3.2741,3.4307,139439.511045,478375.13054208143
1644033600000,2022-02-05 04:00:00,CRV/USD,3.4888,3.5705,3.41,3.4522,141358.598008,487998.1520432176
1643947200000,2022-02-04 04:00:00,CRV/USD,3.0918,3.4906,3.08,3.4888,111231.250229,388063.5857989352
1643860800000,2022-02-03 04:00:00,CRV/USD,3.0626,3.1292,2.9896,3.0918,129378.25186,400011.67910074804
1643774400000,2022-02-02 04:00:00,CRV/USD,3.3945,3.3945,3.0603,3.0626,68178.615357,208803.82739234823
1643688000000,2022-02-01 04:00:00,CRV/USD,3.3654,3.5049,3.2772,3.3945,125759.418861,426890.34732366446
1643601600000,2022-01-31 04:00:00,CRV/USD,3.0057,3.3751,2.9388,3.3654,249918.829413,841076.8285065102
1643515200000,2022-01-30 04:00:00,CRV/USD,2.9362,3.2551,2.9362,3.0057,303671.052802,912744.0834069714
1643428800000,2022-01-29 04:00:00,CRV/USD,2.9323,3.0901,2.9014,2.9362,113391.227822,332939.3231309564
1643342400000,2022-01-28 04:00:00,CRV/USD,2.8593,2.9751,2.6984,2.9323,243334.03139,713528.380244897
1643256000000,2022-01-27 04:00:00,CRV/USD,2.7578,2.9363,2.6511,2.8593,211186.446012,603845.4050821116
1643169600000,2022-01-26 04:00:00,CRV/USD,3.0611,3.2946,2.7089,2.7578,93403.385,257587.85515299998
1643083200000,2022-01-25 04:00:00,CRV/USD,2.7878,3.1185,2.7074,3.0611,306890.694526,939423.1050135386
1642996800000,2022-01-24 04:00:00,CRV/USD,2.9035,2.9405,2.3631,2.7878,260064.627208,725008.1677304624
1642910400000,2022-01-23 04:00:00,CRV/USD,2.9368,3.1449,2.831,2.9035,159446.632794,462953.298317379
1642824000000,2022-01-22 04:00:00,CRV/USD,3.3519,3.3618,2.5642,2.9368,463665.726055,1361693.5042783238
1642737600000,2022-01-21 04:00:00,CRV/USD,3.7824,3.9196,3.2127,3.3519,418572.413685,1403012.8734307515
1642651200000,2022-01-20 04:00:00,CRV/USD,4.2803,4.5556,3.7513,3.7824,503336.980257,1903821.7941240768
1642564800000,2022-01-19 04:00:00,CRV/USD,4.342,4.4157,4.1657,4.2803,97806.794524,418642.42260107724
1642478400000,2022-01-18 04:00:00,CRV/USD,4.6953,4.7451,4.3,4.342,105428.364645,457769.95928858995
1642392000000,2022-01-17 04:00:00,CRV/USD,4.873,5.0404,4.61,4.6953,427078.083754,2005259.726650156
1642305600000,2022-01-16 04:00:00,CRV/USD,5.2017,5.2476,4.873,4.873,149007.518199,726113.6361837271
1642219200000,2022-01-15 04:00:00,CRV/USD,5.3128,5.4782,5.1662,5.2017,271695.844837,1413280.2760886229
1642132800000,2022-01-14 04:00:00,CRV/USD,4.9188,5.3778,4.65,5.3128,179417.276752,953208.1079280257
1642046400000,2022-01-13 04:00:00,CRV/USD,4.807,5.1839,4.7896,4.9188,322493.33317,1586280.207196596
1641960000000,2022-01-12 04:00:00,CRV/USD,4.6937,5.02,4.6937,4.807,157335.981048,756314.060897736
1641873600000,2022-01-11 04:00:00,CRV/USD,4.4505,4.7516,4.261,4.6937,97311.436472,456750.6893686264
1641787200000,2022-01-10 04:00:00,CRV/USD,4.4694,4.6143,4.0214,4.4505,168887.842463,751635.3428815815
1641700800000,2022-01-09 04:00:00,CRV/USD,4.654,4.8714,4.3911,4.4694,126724.015676,566380.3156623144
1641614400000,2022-01-08 04:00:00,CRV/USD,5.1679,5.2329,4.3359,4.654,242493.773648,1128566.022557792
1641528000000,2022-01-07 04:00:00,CRV/USD,4.8853,5.259,4.7283,5.1679,184538.11007,953674.499030753
1641441600000,2022-01-06 04:00:00,CRV/USD,5.1994,5.4968,4.8231,4.8853,359774.384294,1757605.7995914782
1641355200000,2022-01-05 04:00:00,CRV/USD,6.2985,6.2985,4.9671,5.1994,289024.912909,1502756.1321790547
1641268800000,2022-01-04 04:00:00,CRV/USD,6.4822,6.7941,6.0502,6.2985,281075.187575,1770352.0689411373
1641182400000,2022-01-03 04:00:00,CRV/USD,5.7885,6.7202,5.7885,6.4822,419383.817063,2718529.7789657786
1641096000000,2022-01-02 04:00:00,CRV/USD,6.35,6.4632,5.7374,5.7885,350527.877563,2029030.6192734255
1641009600000,2022-01-01 04:00:00,CRV/USD,5.569,6.35,5.5181,6.35,433921.314581,2755400.34758935
