https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMP,Volume USD
1650427200000,2022-04-20 04:00:00,COMP/USD,141.99,148.7,141.99,146.32,154.877607,22661.69145624
1650340800000,2022-04-19 04:00:00,COMP/USD,140.18,144.5,138.54,141.99,702.467576,99743.37111624001
1650254400000,2022-04-18 04:00:00,COMP/USD,144.22,144.51,132.68,140.18,1721.06409,241258.7641362
1650168000000,2022-04-17 04:00:00,COMP/USD,145.58,149.79,141.19,144.22,1429.990398,206233.21519955999
1650081600000,2022-04-16 04:00:00,COMP/USD,142.57,147.08,141.15,145.58,722.289368,105150.88619344
1649995200000,2022-04-15 04:00:00,COMP/USD,146.1,150.24,139.07,142.57,938.292229,133772.32308852999
1649908800000,2022-04-14 04:00:00,COMP/USD,150.25,157.0,141.31,146.1,1811.345074,264637.5153114
1649822400000,2022-04-13 04:00:00,COMP/USD,130.2,152.7,130.2,150.25,690.999537,103822.68043425001
1649736000000,2022-04-12 04:00:00,COMP/USD,118.13,133.16,118.13,130.2,789.104948,102741.4642296
1649649600000,2022-04-11 04:00:00,COMP/USD,129.36,131.41,116.0,118.13,422.14477,49867.961680099994
1649563200000,2022-04-10 04:00:00,COMP/USD,136.85,140.53,129.16,129.36,355.23442,45953.1245712
1649476800000,2022-04-09 04:00:00,COMP/USD,135.35,138.19,134.54,136.85,674.780546,92343.71772009999
1649390400000,2022-04-08 04:00:00,COMP/USD,139.45,143.17,133.33,135.35,531.222843,71901.01180005
1649304000000,2022-04-07 04:00:00,COMP/USD,134.02,140.34,133.19,139.45,293.064354,40867.82416529999
1649217600000,2022-04-06 04:00:00,COMP/USD,149.07,149.07,131.99,134.02,481.949919,64590.92814438001
1649131200000,2022-04-05 04:00:00,COMP/USD,165.18,166.07,144.7,149.07,1112.61209,165857.0842563
1649044800000,2022-04-04 04:00:00,COMP/USD,164.77,167.86,155.44,165.18,1584.670604,261755.89036872
1648958400000,2022-04-03 04:00:00,COMP/USD,153.8,174.7,153.8,164.77,1409.580512,232256.58096224003
1648872000000,2022-04-02 04:00:00,COMP/USD,157.9,158.64,148.16,153.8,603.446299,92810.0407862
1648785600000,2022-04-01 04:00:00,COMP/USD,143.5,162.8,143.21,157.9,1410.787635,222763.3675665
1648699200000,2022-03-31 04:00:00,COMP/USD,158.33,164.3,141.31,143.5,1114.970402,159998.252687
1648612800000,2022-03-30 04:00:00,COMP/USD,143.36,164.47,143.36,158.33,951.617798,150669.64595734002
1648526400000,2022-03-29 04:00:00,COMP/USD,128.47,150.71,128.47,143.36,3432.060088,492020.13421568007
1648440000000,2022-03-28 04:00:00,COMP/USD,130.2,134.5,121.81,128.47,2151.312128,276379.06908416003
