https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ONE,Volume USDT,tradecount
1646524800000,2022-03-06 00:00:00,ONE/USDT,0.14026000,0.14247000,0.12711000,0.12805000,233987331.80000000,31378312.77935300,98154
1646438400000,2022-03-05 00:00:00,ONE/USDT,0.14054000,0.14390000,0.13600000,0.14031000,140769096.60000000,19807868.80292400,68431
1646352000000,2022-03-04 00:00:00,ONE/USDT,0.15423000,0.15445000,0.13830000,0.14052000,217380668.60000000,31953342.58404600,100469
1646265600000,2022-03-03 00:00:00,ONE/USDT,0.16404000,0.16472000,0.14933000,0.15424000,233893511.10000000,36525036.69461300,101051
1646179200000,2022-03-02 00:00:00,ONE/USDT,0.15790000,0.17350000,0.15369000,0.16399000,384476845.20000000,63000361.02567500,160929
1646092800000,2022-03-01 00:00:00,ONE/USDT,0.15634000,0.16727000,0.15265000,0.15796000,349600438.10000000,55808543.49391300,142277
1646006400000,2022-02-28 00:00:00,ONE/USDT,0.14057000,0.15754000,0.13757000,0.15639000,297878739.30000000,43864539.43667000,121975
1645920000000,2022-02-27 00:00:00,ONE/USDT,0.15354000,0.15765000,0.13778000,0.14056000,348538556.50000000,51903903.35377500,141092
1645833600000,2022-02-26 00:00:00,ONE/USDT,0.14607000,0.16123000,0.14571000,0.15352000,403426668.60000000,62199055.40439500,179898
1645747200000,2022-02-25 00:00:00,ONE/USDT,0.12647000,0.14739000,0.12425000,0.14606000,306011706.90000000,40765730.87315500,117337
1645660800000,2022-02-24 00:00:00,ONE/USDT,0.13199000,0.13295000,0.10970000,0.12649000,580788707.90000000,69423492.91859700,212972
1645574400000,2022-02-23 00:00:00,ONE/USDT,0.13892000,0.14700000,0.13166000,0.13197000,244087854.10000000,34249176.39645600,98501
1645488000000,2022-02-22 00:00:00,ONE/USDT,0.13587000,0.13949000,0.12901000,0.13893000,256307788.80000000,34376084.02706000,103511
1645401600000,2022-02-21 00:00:00,ONE/USDT,0.15059000,0.16105000,0.13494000,0.13591000,291468030.50000000,43478553.24494600,127818
1645315200000,2022-02-20 00:00:00,ONE/USDT,0.16662000,0.16685000,0.14800000,0.15063000,235706481.20000000,36145290.58657900,101670
1645228800000,2022-02-19 00:00:00,ONE/USDT,0.16743000,0.17169000,0.16180000,0.16665000,123593258.10000000,20612269.64699400,58465
1645142400000,2022-02-18 00:00:00,ONE/USDT,0.17383000,0.17840000,0.16467000,0.16744000,182336868.30000000,31244058.95640300,86714
1645056000000,2022-02-17 00:00:00,ONE/USDT,0.18837000,0.19332000,0.17176000,0.17376000,211575203.10000000,38856884.86878900,118765
1644969600000,2022-02-16 00:00:00,ONE/USDT,0.19509000,0.19581000,0.18606000,0.18837000,132918763.70000000,25414881.76338000,80732
1644883200000,2022-02-15 00:00:00,ONE/USDT,0.18434000,0.19721000,0.18372000,0.19505000,198803880.40000000,38212235.73695000,88199
1644796800000,2022-02-14 00:00:00,ONE/USDT,0.18280000,0.19200000,0.17431000,0.18424000,157353771.20000000,28469562.76576900,75343
1644710400000,2022-02-13 00:00:00,ONE/USDT,0.19085000,0.19211000,0.18068000,0.18276000,107790747.10000000,20233412.59696200,54450
1644624000000,2022-02-12 00:00:00,ONE/USDT,0.19053000,0.19695000,0.18088000,0.19080000,157905045.30000000,30068317.27523100,81898
1644537600000,2022-02-11 00:00:00,ONE/USDT,0.21161000,0.21613000,0.18612000,0.19053000,241275217.60000000,49390117.47573100,123318
1644451200000,2022-02-10 00:00:00,ONE/USDT,0.22459000,0.23600000,0.20929000,0.21153000,378082949.50000000,84823390.66202700,205400
1644364800000,2022-02-09 00:00:00,ONE/USDT,0.21175000,0.22777000,0.20659000,0.22462000,217280086.90000000,47575530.38439700,114979
1644278400000,2022-02-08 00:00:00,ONE/USDT,0.22082000,0.22921000,0.20259000,0.21175000,271749953.90000000,58220438.37712100,150098
1644192000000,2022-02-07 00:00:00,ONE/USDT,0.21171000,0.22950000,0.20655000,0.22092000,336982605.80000000,74371134.06454600,174114
